iso_code3,Region,Year,frac_inen_energy_recycled_textiles_furnace_gas
LA,louisiana,2021,0.0706721152561978
LA,louisiana,2022,0.0675968776271179
LA,louisiana,2023,0.0669179615962566
LA,louisiana,2024,0.0660827104340641
LA,louisiana,2025,0.0669292923730488
LA,louisiana,2026,0.0683805268061791
LA,louisiana,2027,0.0703422202599383
LA,louisiana,2028,0.072175517970404
LA,louisiana,2029,0.073767602888229
LA,louisiana,2030,0.0750518040914765
LA,louisiana,2031,0.0762039903192564
LA,louisiana,2032,0.077383692128047
LA,louisiana,2033,0.0787303229372282
LA,louisiana,2034,0.0802904851827648
LA,louisiana,2035,0.0820567183107264
LA,louisiana,2036,0.0839890169479735
LA,louisiana,2037,0.0860543385773301
LA,louisiana,2038,0.0882420425763402
LA,louisiana,2039,0.0905698516996989
LA,louisiana,2040,0.093075723725772
LA,louisiana,2041,0.0951653537985606
LA,louisiana,2042,0.0934856047108704
LA,louisiana,2043,0.0918172524237941
LA,louisiana,2044,0.0901552230571442
LA,louisiana,2045,0.0884944987594375
LA,louisiana,2046,0.0868323068476878
LA,louisiana,2047,0.0851684134568177
LA,louisiana,2048,0.0835041760846766
LA,louisiana,2049,0.0818413437146746
LA,louisiana,2050,0.0801812044155747
