iso_code3,Region,Year,frac_inen_energy_metals_diesel
LA,louisiana,2000,0.004631954908198
LA,louisiana,2001,0.0057684369840396
LA,louisiana,2002,0.0053444399189881
LA,louisiana,2003,0.0052201528333719
LA,louisiana,2004,0.0063491660402657
LA,louisiana,2005,0.0075923728466794
LA,louisiana,2006,0.0081589450155346
LA,louisiana,2007,0.0077923237663195
LA,louisiana,2008,0.0054048984404308
LA,louisiana,2009,0.0068040717418989
LA,louisiana,2010,0.0059768853215499
LA,louisiana,2011,0.0075975734541733
LA,louisiana,2012,0.0089927331449333
LA,louisiana,2013,0.0071605081042258
LA,louisiana,2014,0.0087341958789487
LA,louisiana,2015,0.0100148630916474
LA,louisiana,2016,0.004293985528687
LA,louisiana,2017,0.003768615464655
LA,louisiana,2018,0.0042174624866386
LA,louisiana,2019,0.0013180969263397
LA,louisiana,2020,0.0013349423878767
