,iso_code3,Region,Year,frac_trns_pkm_dem_private_and_public_road_light
0,LA,louisiana,2022,0.8939532746531902
1,LA,louisiana,2023,0.8939532746531902
2,LA,louisiana,2024,0.8939532746531902
3,LA,louisiana,2025,0.8939532746531902
4,LA,louisiana,2026,0.8939532746531902
5,LA,louisiana,2027,0.8939532746531902
6,LA,louisiana,2028,0.8939532746531902
7,LA,louisiana,2029,0.8939532746531902
8,LA,louisiana,2030,0.8939532746531902
9,LA,louisiana,2031,0.8939532746531902
10,LA,louisiana,2032,0.8939532746531902
11,LA,louisiana,2033,0.8939532746531902
12,LA,louisiana,2034,0.8939532746531902
13,LA,louisiana,2035,0.8939532746531902
14,LA,louisiana,2036,0.8939532746531902
15,LA,louisiana,2037,0.8939532746531902
16,LA,louisiana,2038,0.8939532746531902
17,LA,louisiana,2039,0.8939532746531902
18,LA,louisiana,2040,0.8939532746531902
19,LA,louisiana,2041,0.8939532746531902
20,LA,louisiana,2042,0.8939532746531902
21,LA,louisiana,2043,0.8939532746531902
22,LA,louisiana,2044,0.8939532746531902
23,LA,louisiana,2045,0.8939532746531902
24,LA,louisiana,2046,0.8939532746531902
25,LA,louisiana,2047,0.8939532746531902
26,LA,louisiana,2048,0.8939532746531902
27,LA,louisiana,2049,0.8939532746531902
28,LA,louisiana,2050,0.8939532746531902
