iso_code3,Region,Year,exports_enfu_pj_fuel_hydrocarbon_gas_liquids
LA,louisiana,2025,8.586000000000013
LA,louisiana,2026,8.586000000000013
LA,louisiana,2027,8.586000000000013
LA,louisiana,2028,8.586000000000013
LA,louisiana,2029,8.586000000000013
LA,louisiana,2030,8.586000000000013
LA,louisiana,2031,8.586000000000013
LA,louisiana,2032,8.586000000000013
LA,louisiana,2033,8.586000000000013
LA,louisiana,2034,8.586000000000013
LA,louisiana,2035,8.586000000000013
LA,louisiana,2036,8.586000000000013
LA,louisiana,2037,8.586000000000013
LA,louisiana,2038,8.586000000000013
LA,louisiana,2039,8.586000000000013
LA,louisiana,2040,8.586000000000013
LA,louisiana,2041,8.586000000000013
LA,louisiana,2042,8.586000000000013
LA,louisiana,2043,8.586000000000013
LA,louisiana,2044,8.586000000000013
LA,louisiana,2045,8.586000000000013
LA,louisiana,2046,8.586000000000013
LA,louisiana,2047,8.586000000000013
LA,louisiana,2048,8.586000000000013
LA,louisiana,2049,8.586000000000013
LA,louisiana,2050,8.586000000000013
