Year,iso_code3,pij_lndu_forests_secondary_to_forests_primary
2015,LA,0.0057152234437981494
2016,LA,0.0018550194215246276
2017,LA,0.0018128007511689925
2018,LA,0.000744949460876764
2019,LA,0.0025294886218376676
