iso_code3,Region,Year,frac_inen_energy_chemicals_furnace_gas
LA,louisiana,2021,0.0338886589734248
LA,louisiana,2022,0.0337251799257643
LA,louisiana,2023,0.0330471637116343
LA,louisiana,2024,0.0319089446420276
LA,louisiana,2025,0.0306976314126888
LA,louisiana,2026,0.0295517791556687
LA,louisiana,2027,0.0284691863392223
LA,louisiana,2028,0.0274369457855974
LA,louisiana,2029,0.0264514962743644
LA,louisiana,2030,0.0255120331560936
LA,louisiana,2031,0.02461680555039
LA,louisiana,2032,0.0237633591084788
LA,louisiana,2033,0.0229491891359484
LA,louisiana,2034,0.0221719299667056
LA,louisiana,2035,0.0214293472177195
LA,louisiana,2036,0.0207193261981398
LA,louisiana,2037,0.0200398763158624
LA,louisiana,2038,0.019387841006227
LA,louisiana,2039,0.0187624287866989
LA,louisiana,2040,0.018162544020845
LA,louisiana,2041,0.0175866700522916
LA,louisiana,2042,0.0170333999703612
LA,louisiana,2043,0.0165014291918502
LA,louisiana,2044,0.0159895480388675
LA,louisiana,2045,0.0154966345083781
LA,louisiana,2046,0.0150216473647927
LA,louisiana,2047,0.0145636196319845
LA,louisiana,2048,0.0141216525235049
LA,louisiana,2049,0.0136949098247078
LA,louisiana,2050,0.0132826127233311
