iso_code3,Region,Year,frac_inen_energy_recycled_metals_coke
LA,louisiana,2021,0.0354170737694726
LA,louisiana,2022,0.0341979120297418
LA,louisiana,2023,0.0340780885178924
LA,louisiana,2024,0.034023466511473
LA,louisiana,2025,0.0337415368926546
LA,louisiana,2026,0.0334396528166883
LA,louisiana,2027,0.0331979362640375
LA,louisiana,2028,0.0329525070725936
LA,louisiana,2029,0.0327013111950884
LA,louisiana,2030,0.0324580670029267
LA,louisiana,2031,0.0322196961863221
LA,louisiana,2032,0.0319815278860636
LA,louisiana,2033,0.0317434899740175
LA,louisiana,2034,0.0315055654150895
LA,louisiana,2035,0.0312667827830005
LA,louisiana,2036,0.0310264365517264
LA,louisiana,2037,0.0307841608650267
LA,louisiana,2038,0.0305395924130792
LA,louisiana,2039,0.0302923714066405
LA,louisiana,2040,0.0300422073256137
LA,louisiana,2041,0.0297888562910535
LA,louisiana,2042,0.0295320958165934
LA,louisiana,2043,0.0292717240377067
LA,louisiana,2044,0.0290075584295658
LA,louisiana,2045,0.0287394299522998
LA,louisiana,2046,0.0284671790339289
LA,louisiana,2047,0.0281906534003679
LA,louisiana,2048,0.0279097059767993
LA,louisiana,2049,0.0276241929243214
LA,louisiana,2050,0.0273339721266076
