"year","location_code","prodinit_ippu_textiles_tonne"
2010,"ABW",1101.44531317704
2011,"ABW",1107.37734191545
2012,"ABW",966.834430289867
2013,"ABW",1101.08172039589
2014,"ABW",1204.27268831673
2015,"ABW",1736.18026271507
2016,"ABW",1838.86380135465
2017,"ABW",1423.10724381142
2018,"ABW",1589.97977297901
2019,"ABW",1766.45452519521
2020,"ABW",1038.18379321441
2010,"AGO",26094.8823782224
2011,"AGO",30446.1739521854
2012,"AGO",48153.8299862308
2013,"AGO",53586.3495013503
2014,"AGO",83141.454314388
2015,"AGO",50267.1717002207
2016,"AGO",31846.7758686665
2017,"AGO",50638.9770281211
2018,"AGO",41036.1219799212
2019,"AGO",55899.884416745
2020,"AGO",45804.7204081333
2010,"ALB",38187.2002775159
2011,"ALB",40571.8878956393
2012,"ALB",40367.9165225142
2013,"ALB",44826.8161325385
2014,"ALB",48947.8243035018
2015,"ALB",48636.7990309098
2016,"ALB",56367.2468816628
2017,"ALB",58701.610110098
2018,"ALB",65589.8435050679
2019,"ALB",64184.8435462482
2020,"ALB",73252.2702179849
2010,"ARE",261923.892788799
2011,"ARE",308273.322879066
2012,"ARE",370332.320933036
2013,"ARE",395929.872035078
2014,"ARE",405279.198265951
2015,"ARE",399301.576340923
2016,"ARE",331914.333520164
2017,"ARE",310106.198061091
2018,"ARE",299262.774907482
2019,"ARE",294660.83544659
2020,"ARE",229493.396769553
2010,"ARG",242236.213479643
2011,"ARG",293144.745131422
2012,"ARG",291624.186799432
2013,"ARG",262553.037059966
2014,"ARG",237445.652991228
2015,"ARG",314321.52209058
2016,"ARG",259839.399097769
2017,"ARG",272530.306647195
2018,"ARG",220213.659549553
2019,"ARG",177993.2022002
2020,"ARG",158408.070891429
2010,"ARM",5470.93571319641
2011,"ARM",6321.00384813233
2012,"ARM",6234.07930265641
2013,"ARM",6966.54007040207
2014,"ARM",10491.1836059542
2015,"ARM",8586.40110145611
2016,"ARM",9932.74315069186
2017,"ARM",11209.1586178905
2018,"ARM",14184.5393543955
2019,"ARM",11964.5692851263
2020,"ARM",15020.1921832385
2010,"ASM",83.3303496290731
2011,"ASM",75.5848087960056
2012,"ASM",70.3606008343709
2013,"ASM",75.7715575409136
2014,"ASM",168.190812725439
2015,"ASM",79.4106012944982
2016,"ASM",76.0737956130052
2017,"ASM",87.4837970760825
2018,"ASM",77.6067971721834
2019,"ASM",64.4751369902017
2020,"ASM",59.5571992981099
2010,"ATG",926.538869774676
2011,"ATG",593.253096191875
2012,"ATG",806.697638357828
2013,"ATG",468.363581628032
2014,"ATG",493.951438377295
2015,"ATG",632.211719980019
2016,"ATG",695.83520472233
2017,"ATG",1019.95486579792
2018,"ATG",767.787510187444
2019,"ATG",722.499770182404
2020,"ATG",511.839236389461
2010,"AUS",802898.248005175
2011,"AUS",1003133.88182641
2012,"AUS",1068890.38883022
2013,"AUS",1070367.9228661
2014,"AUS",992886.51390206
2015,"AUS",976655.785226814
2016,"AUS",972772.123416816
2017,"AUS",1050449.62126825
2018,"AUS",1054938.03748357
2019,"AUS",958897.716366235
2020,"AUS",1003572.62311396
2010,"AUT",473831.233228501
2011,"AUT",499559.824845296
2012,"AUT",451613.534597453
2013,"AUT",477666.535616561
2014,"AUT",502933.482597809
2015,"AUT",446025.672371872
2016,"AUT",474868.699538384
2017,"AUT",492563.942436952
2018,"AUT",501368.477310388
2019,"AUT",485315.294260304
2020,"AUT",489540.685299388
2010,"AZE",54537.9696447165
2011,"AZE",48301.7446611444
2012,"AZE",46700.2943250205
2013,"AZE",48368.6206854419
2014,"AZE",45760.9048509914
2015,"AZE",26480.8798416042
2016,"AZE",15555.9539882392
2017,"AZE",14366.8411130238
2018,"AZE",17126.8243264109
2019,"AZE",20054.1553346025
2020,"AZE",17810.0419141067
2010,"BDI",2700.7831368037
2011,"BDI",1476.85303195675
2012,"BDI",1300.29454986159
2013,"BDI",1478.31902015307
2014,"BDI",1215.44271581453
2015,"BDI",1807.73744949057
2016,"BDI",2075.59719948572
2017,"BDI",3471.7967433204
2018,"BDI",3224.131784559
2019,"BDI",2746.38868905315
2020,"BDI",2235.54382837272
2010,"BEL",585028.949831244
2011,"BEL",589479.597886205
2012,"BEL",545442.16638485
2013,"BEL",577491.576901808
2014,"BEL",602883.056732082
2015,"BEL",462745.042898643
2016,"BEL",443971.894314868
2017,"BEL",432724.42359234
2018,"BEL",424247.357609227
2019,"BEL",422385.71780299
2020,"BEL",434793.004761525
2010,"BEN",87764.5469196151
2011,"BEN",107847.735012385
2012,"BEN",87332.7265945551
2013,"BEN",94659.6680050068
2014,"BEN",97621.2136786893
2015,"BEN",83524.6819897382
2016,"BEN",45965.1754117479
2017,"BEN",51610.2007718315
2018,"BEN",61165.3930257821
2019,"BEN",62865.1696818016
2020,"BEN",43389.8520653149
2010,"BFA",20327.913252992
2011,"BFA",19447.8046413311
2012,"BFA",18577.5574011991
2013,"BFA",21168.7602594032
2014,"BFA",21637.1777707804
2015,"BFA",16027.3270655603
2016,"BFA",15499.7315400473
2017,"BFA",15974.7502114751
2018,"BFA",9220.0991409368
2019,"BFA",11802.8367535277
2020,"BFA",16968.3958037253
2010,"BGD",1693416.41909461
2011,"BGD",1629032.12321585
2012,"BGD",1680358.59887455
2013,"BGD",1825726.60945312
2014,"BGD",2006448.51938041
2015,"BGD",2511032.36592255
2016,"BGD",3158568.66066196
2017,"BGD",3659071.97078088
2018,"BGD",3921278.16883701
2019,"BGD",3905355.11389976
2020,"BGD",4112813.07796844
2010,"BGR",107897.076228991
2011,"BGR",107986.998821874
2012,"BGR",99953.5017818958
2013,"BGR",101459.088439074
2014,"BGR",106394.576753508
2015,"BGR",98723.1082481617
2016,"BGR",117508.82118707
2017,"BGR",117228.897700651
2018,"BGR",117664.204993242
2019,"BGR",113224.948992777
2020,"BGR",112367.607152297
2010,"BHR",14199.3535835448
2011,"BHR",9656.35476473277
2012,"BHR",14017.2017095232
2013,"BHR",14693.0627344686
2014,"BHR",17488.248344691
2015,"BHR",23526.7053252991
2016,"BHR",22373.6205550683
2017,"BHR",16017.2410843349
2018,"BHR",18180.4793884374
2019,"BHR",16968.3619427148
2020,"BHR",15699.7451336012
2010,"BHS",7337.06406302894
2011,"BHS",10989.2148320682
2012,"BHS",11022.4809517531
2013,"BHS",8015.4356983884
2014,"BHS",7709.52896850194
2015,"BHS",10671.3305169648
2016,"BHS",6013.68416076204
2017,"BHS",7455.84175975287
2018,"BHS",6561.27893312402
2019,"BHS",5965.27149919809
2020,"BHS",4139.16741868444
2010,"BIH",50328.2296366961
2011,"BIH",51516.0089571207
2012,"BIH",49891.884581327
2013,"BIH",55352.03981882
2014,"BIH",62812.5001964543
2015,"BIH",55337.7375738438
2016,"BIH",59401.2123090124
2017,"BIH",58649.7237554371
2018,"BIH",62362.2232725416
2019,"BIH",61640.0013445745
2020,"BIH",65306.2580276297
2010,"BLR",40161.7578195749
2011,"BLR",32552.053008364
2012,"BLR",44512.0436070813
2013,"BLR",59717.726232683
2014,"BLR",60848.9940574198
2015,"BLR",40514.0495576036
2016,"BLR",44586.3996171338
2017,"BLR",50234.9534250782
2018,"BLR",53857.4612278248
2019,"BLR",62938.3449545853
2020,"BLR",68504.5028772701
2010,"BLZ",2198.11505706606
2011,"BLZ",1644.47602644001
2012,"BLZ",1451.59965156737
2013,"BLZ",1311.97188426133
2014,"BLZ",1681.41510197469
2015,"BLZ",2087.83206468095
2016,"BLZ",2331.53893703522
2017,"BLZ",2219.33480818923
2018,"BLZ",1820.64727779989
2019,"BLZ",1998.81474395486
2020,"BLZ",1951.10510547925
2010,"BMU",3058.31362409158
2011,"BMU",2625.80001636719
2012,"BMU",2515.40218407243
2013,"BMU",2584.65935612563
2014,"BMU",2745.33419760427
2015,"BMU",3406.5389524176
2016,"BMU",2836.27150642179
2017,"BMU",8648.91835937707
2018,"BMU",4173.00003505088
2019,"BMU",3389.82224714801
2020,"BMU",10909.4369453289
2010,"BOL",18644.7498279544
2011,"BOL",20894.6966473423
2012,"BOL",23132.0123611156
2013,"BOL",23983.0255764501
2014,"BOL",21094.0351357161
2015,"BOL",19609.6661010727
2016,"BOL",17837.0157247215
2017,"BOL",18811.9440482641
2018,"BOL",18029.3360835112
2019,"BOL",17304.1608419111
2020,"BOL",16098.7120304813
2010,"BRA",1206543.17935585
2011,"BRA",1340529.98628279
2012,"BRA",1401163.12633976
2013,"BRA",1241392.15717131
2014,"BRA",1272478.96681321
2015,"BRA",1035676.53239068
2016,"BRA",975561.701308283
2017,"BRA",1178557.41331003
2018,"BRA",1008859.51322799
2019,"BRA",1001752.22219844
2020,"BRA",777959.651291728
2010,"BRB",8825.10293207876
2011,"BRB",2400.99555459965
2012,"BRB",2274.68392422582
2013,"BRB",1789.75660263446
2014,"BRB",1687.67724504697
2015,"BRB",1927.52305831527
2016,"BRB",2298.90747587621
2017,"BRB",2537.51259555157
2018,"BRB",2342.76883913714
2019,"BRB",2108.95116276356
2020,"BRB",2113.54233118462
2010,"BRN",13319.6008452821
2011,"BRN",22143.1970803879
2012,"BRN",29414.3619038699
2013,"BRN",28054.5915131997
2014,"BRN",32715.1183103291
2015,"BRN",16484.8164103335
2016,"BRN",6277.2859419862
2017,"BRN",5631.62789743073
2018,"BRN",4238.26193892712
2019,"BRN",3419.88231877003
2020,"BRN",3445.62863713289
2010,"BTN",169.869235503915
2011,"BTN",286.61489729626
2012,"BTN",314.577400377556
