"year","location_code","prodinit_ippu_textiles_tonne"
2013,"BTN",554.823696555677
2014,"BTN",103.32052127096
2015,"BTN",190.377189208295
2016,"BTN",426.921551155297
2017,"BTN",845.027343746327
2018,"BTN",928.547971774187
2019,"BTN",1165.28743471146
2020,"BTN",1584.55368395428
2010,"BWA",10037.7824948915
2011,"BWA",10319.465619426
2012,"BWA",7799.63060218139
2013,"BWA",6543.94959286865
2014,"BWA",7413.34130130457
2015,"BWA",7305.21915333782
2016,"BWA",8419.2849839788
2017,"BWA",10915.4488051196
2018,"BWA",10324.6813577429
2019,"BWA",9477.15759657113
2020,"BWA",7371.23765761799
2010,"CAF",2635.69129041197
2011,"CAF",2391.60846179174
2012,"CAF",2651.82414887997
2013,"CAF",2456.2964856193
2014,"CAF",1943.74199050779
2015,"CAF",1472.51376070539
2016,"CAF",851.80118253408
2017,"CAF",1114.6505182495
2018,"CAF",1018.63153071614
2019,"CAF",938.404012587424
2020,"CAF",802.961362719804
2010,"CAN",1130777.3169824
2011,"CAN",1148117.73228635
2012,"CAN",1226582.5562366
2013,"CAN",1226039.22197243
2014,"CAN",1192490.46856457
2015,"CAN",1166136.87992653
2016,"CAN",1182361.02004521
2017,"CAN",1233810.10897844
2018,"CAN",1235857.79104343
2019,"CAN",1263305.37041626
2020,"CAN",1225420.78500443
2010,"CHE",460039.678186902
2011,"CHE",479341.441963717
2012,"CHE",514920.330141732
2013,"CHE",461478.383358697
2014,"CHE",519157.263850361
2015,"CHE",512454.763301755
2016,"CHE",466897.602132762
2017,"CHE",511611.257461372
2018,"CHE",550454.478128498
2019,"CHE",581941.772959884
2020,"CHE",519583.013268554
2010,"CHL",179727.203966016
2011,"CHL",210087.270218255
2012,"CHL",239075.248274056
2013,"CHL",254207.979843596
2014,"CHL",240878.182404137
2015,"CHL",251496.393331243
2016,"CHL",270370.316735383
2017,"CHL",312850.274586597
2018,"CHL",297072.341067526
2019,"CHL",252782.887970401
2020,"CHL",214809.803756734
2010,"CHN",14844593.0183842
2011,"CHN",16972347.9127964
2012,"CHN",19344505.0136067
2013,"CHN",21113781.968942
2014,"CHN",22366253.7301746
2015,"CHN",24312048.836909
2016,"CHN",24427626.749286
2017,"CHN",25016196.3027874
2018,"CHN",26407522.1941748
2019,"CHN",27085443.3092775
2020,"CHN",27488702.3895875
2010,"CIV",21013.9847592513
2011,"CIV",21767.8061872216
2012,"CIV",24885.6061285979
2013,"CIV",30884.2686938675
2014,"CIV",48199.1495945056
2015,"CIV",42929.0464029037
2016,"CIV",43916.2073221867
2017,"CIV",47138.0064128269
2018,"CIV",47476.0730042342
2019,"CIV",50089.4191254357
2020,"CIV",48219.6196705864
2010,"CMR",18667.2497000239
2011,"CMR",24203.2954562947
2012,"CMR",29522.122530501
2013,"CMR",35386.2738263471
2014,"CMR",38963.435417388
2015,"CMR",42456.6783930015
2016,"CMR",39037.9160304931
2017,"CMR",39918.276561074
2018,"CMR",41080.5214241217
2019,"CMR",34476.452754764
2020,"CMR",44953.1035172229
2010,"COD",7433.28333171016
2011,"COD",8486.17612184856
2012,"COD",12575.0052380082
2013,"COD",12751.3822028094
2014,"COD",15786.5383195462
2015,"COD",20427.5803493292
2016,"COD",13686.5923191375
2017,"COD",10706.1764079715
2018,"COD",12982.188587335
2019,"COD",18280.251163229
2020,"COD",17677.0751166626
2010,"COG",6536.98686590198
2011,"COG",7244.64846399169
2012,"COG",13085.0068543002
2013,"COG",8475.64080585202
2014,"COG",6900.00326518279
2015,"COG",4719.50842584178
2016,"COG",4039.35355801267
2017,"COG",4726.69459456698
2018,"COG",4912.62336447751
2019,"COG",4649.96011872347
2020,"COG",5749.77749869706
2010,"COL",239775.432967222
2011,"COL",244514.118757045
2012,"COL",259323.746994061
2013,"COL",254027.524061294
2014,"COL",254046.333907343
2015,"COL",225158.454660243
2016,"COL",215537.041772819
2017,"COL",234342.202844008
2018,"COL",248311.367671635
2019,"COL",229378.223002267
2020,"COL",208448.934767043
2010,"COM",481.24636033066
2011,"COM",414.014669556711
2012,"COM",822.596429927398
2013,"COM",890.508612577837
2014,"COM",1052.07407354861
2015,"COM",2889.88104381183
2016,"COM",4055.20546510839
2017,"COM",3728.12949501399
2018,"COM",1407.3879152119
2019,"COM",1191.54756391577
2020,"COM",1104.94179329501
2010,"CPV",1039.51371788534
2011,"CPV",1115.82452084165
2012,"CPV",1018.93381282538
2013,"CPV",1351.86392712336
2014,"CPV",1437.93560111599
2015,"CPV",958.551232427008
2016,"CPV",1362.01357883392
2017,"CPV",1115.07585368362
2018,"CPV",1188.93483834123
2019,"CPV",1138.40969151777
2020,"CPV",1193.63248607947
2010,"CRI",34643.2544454824
2011,"CRI",35140.6208322302
2012,"CRI",35984.4468678179
2013,"CRI",32139.4156740565
2014,"CRI",30373.5250953149
2015,"CRI",34629.736640591
2016,"CRI",35824.4813963268
2017,"CRI",35324.7326178198
2018,"CRI",33199.8234809784
2019,"CRI",35407.0341028948
2020,"CRI",33385.1562612783
2010,"CUB",23448.7171651075
2011,"CUB",20837.408378482
2012,"CUB",26672.6683143342
2013,"CUB",25356.3457025187
2014,"CUB",24238.0220092011
2015,"CUB",38120.9736172323
2016,"CUB",45179.0130775811
2017,"CUB",35526.0626419979
2018,"CUB",22664.5491767063
2019,"CUB",22997.197159663
2020,"CUB",28764.3393120504
2010,"CUW",2302.88706918063
2011,"CUW",2677.53444429
2012,"CUW",3386.81983266477
2013,"CUW",2413.77983577833
2014,"CUW",2118.11068005124
2015,"CUW",2089.29931364036
2016,"CUW",1737.88837393426
2017,"CUW",1696.77700390548
2018,"CUW",2302.88706918063
2019,"CUW",2302.88706918063
2020,"CUW",2302.88706918063
2010,"CYM",1511.67221410569
2011,"CYM",1511.67221410569
2012,"CYM",1511.67221410569
2013,"CYM",1511.67221410569
2014,"CYM",1511.67221410569
2015,"CYM",1511.67221410569
2016,"CYM",1511.67221410569
2017,"CYM",1569.33741534572
2018,"CYM",1382.23103943046
2019,"CYM",1592.4239776012
2020,"CYM",1502.69642404536
2010,"CYP",20886.7116704407
2011,"CYP",21134.6980547181
2012,"CYP",18704.5939433636
2013,"CYP",18306.2072318172
2014,"CYP",14380.3618283848
2015,"CYP",13718.4093424074
2016,"CYP",15226.9312493323
2017,"CYP",14522.6060355063
2018,"CYP",14175.7953844197
2019,"CYP",13179.336820006
2020,"CYP",10391.9599731141
2010,"CZE",233404.8039941
2011,"CZE",253251.658751684
2012,"CZE",227572.35892019
2013,"CZE",246082.46151789
2014,"CZE",248031.336607649
2015,"CZE",233985.291391608
2016,"CZE",276434.887314654
2017,"CZE",309861.670509782
2018,"CZE",333572.383091317
2019,"CZE",318049.514661897
2020,"CZE",325448.743785401
2010,"DEU",3729122.1103779
2011,"DEU",3972881.82008456
2012,"DEU",3624762.64381224
2013,"DEU",3821850.07822675
2014,"DEU",4028400.54090736
2015,"DEU",3592134.26596612
2016,"DEU",3803849.52663237
2017,"DEU",3989852.89177666
2018,"DEU",4137528.94203497
2019,"DEU",3973734.44838092
2020,"DEU",4270851.95989579
2010,"DJI",5729.98325547652
2011,"DJI",5729.98325547652
2012,"DJI",5729.98325547652
2013,"DJI",2881.82814250598
2014,"DJI",4193.51301802611
2015,"DJI",5568.37409513065
2016,"DJI",5657.68256440166
2017,"DJI",6274.8685257552
2018,"DJI",5883.78253080366
2019,"DJI",5806.09808980593
2020,"DJI",9573.71907738295
2010,"DMA",507.471116954744
2011,"DMA",413.714689828564
2012,"DMA",561.609562636556
2013,"DMA",425.911681690686
2014,"DMA",373.39272905199
2015,"DMA",333.011330291745
2016,"DMA",353.142355669529
2017,"DMA",336.44526777721
2018,"DMA",289.029914235033
2019,"DMA",399.303183126229
2020,"DMA",399.303183126229
2010,"DNK",372483.060277338
2011,"DNK",378639.108501619
2012,"DNK",354617.131243598
2013,"DNK",355132.37637898
2014,"DNK",380439.57595906
2015,"DNK",339886.54087594
2016,"DNK",359040.061938725
2017,"DNK",366714.880344324
2018,"DNK",375751.08840854
2019,"DNK",343154.804618687
2020,"DNK",362342.513409417
2010,"DOM",122546.679413418
2011,"DOM",123936.449116759
2012,"DOM",131132.056811536
2013,"DOM",131042.43250978
2014,"DOM",143402.13853209
2015,"DOM",155301.990365553
2016,"DOM",151803.77697392
2017,"DOM",153900.077552143
2018,"DOM",144916.430808095
2019,"DOM",151759.735813147
2020,"DOM",138331.46203274
2010,"DZA",59634.8748193281
2011,"DZA",71830.7072650504
2012,"DZA",85069.068003549
2013,"DZA",92419.547912874
2014,"DZA",101836.301635121
2015,"DZA",95181.7710202893
2016,"DZA",99802.0039063423
2017,"DZA",98170.6533826967
2018,"DZA",95960.3033170991
2019,"DZA",102408.191750738
2020,"DZA",82962.9037577735
2010,"ECU",43216.3841181509
2011,"ECU",44103.821852682
2012,"ECU",49326.696221784
2013,"ECU",55481.9391200781
2014,"ECU",52566.598794531
2015,"ECU",57431.5870717435
2016,"ECU",55052.5025622209
2017,"ECU",58961.2844577723
2018,"ECU",58982.6522304586
2019,"ECU",56960.9014802083
2020,"ECU",55827.4407667426
2010,"EGY",376538.978497566
2011,"EGY",434386.670164149
2012,"EGY",512577.867103362
2013,"EGY",522231.944290996
2014,"EGY",602928.181603662
2015,"EGY",636581.892565111
2016,"EGY",639998.346112695
2017,"EGY",431275.049209917
2018,"EGY",430936.507850192
2019,"EGY",474091.585345917
2020,"EGY",522686.422483489
2010,"ERI",1318.58564951623
2011,"ERI",700.372327551039
2012,"ERI",1009.47898853364
2013,"ERI",1009.47898853364
2014,"ERI",1009.47898853364
2015,"ERI",1009.47898853364
2016,"ERI",1009.47898853364
2017,"ERI",1009.47898853364
2018,"ERI",1009.47898853364
2019,"ERI",1009.47898853364
2020,"ERI",1009.47898853364
2010,"ESP",1923169.73787198
2011,"ESP",1872482.61452636
2012,"ESP",1703564.79336207
2013,"ESP",1803401.28404662
2014,"ESP",1896548.27072656
2015,"ESP",1768340.78154062
2016,"ESP",1934368.0383086
2017,"ESP",2018385.37135928
2018,"ESP",2030644.7073522
2019,"ESP",2039977.28576748
2020,"ESP",1929141.85640149
2010,"EST",34788.8372308475
2011,"EST",35505.7855427698
2012,"EST",36770.4080875233
2013,"EST",40486.4521144914
2014,"EST",41276.0382794283
2015,"EST",38564.2952290344
2016,"EST",41370.355313391
2017,"EST",43328.4388475889
2018,"EST",46022.0694296082
2019,"EST",44243.825065067
2020,"EST",42253.2937498357
2010,"ETH",61276.8194803842
2011,"ETH",20713.3279478863
2012,"ETH",24904.5447541383
2013,"ETH",33707.5513066938
2014,"ETH",61017.0873669611
2015,"ETH",63136.903342729
2016,"ETH",66458.9827201581
2017,"ETH",70639.6628083358
2018,"ETH",80330.2135802487
2019,"ETH",90440.6880533636
2020,"ETH",101419.232923327
2010,"FIN",188804.890227586
2011,"FIN",199840.129905829
2012,"FIN",196832.730989659
2013,"FIN",197941.677022408
2014,"FIN",196167.426415551
2015,"FIN",178456.204204282
2016,"FIN",174697.569809793
2017,"FIN",168163.19487202
2018,"FIN",164206.338937605
2019,"FIN",161100.076251261
2020,"FIN",171744.446676441
2010,"FJI",3881.56307057587
2011,"FJI",3780.75501553994
2012,"FJI",4015.32346073229
2013,"FJI",4142.39966889239
2014,"FJI",4242.43544413856
2015,"FJI",5312.52504401511
2016,"FJI",6087.10267689265
2017,"FJI",5736.64611717691
2018,"FJI",5338.11251677805
2019,"FJI",5128.10988818681
2020,"FJI",5062.04794283838
2010,"FRA",3008876.18241157
2011,"FRA",3053208.17122606
2012,"FRA",2859577.97511211
2013,"FRA",2957025.15359146
2014,"FRA",3001750.33696127
2015,"FRA",2639110.54543976
2016,"FRA",2770096.89381858
2017,"FRA",2809161.87305666
2018,"FRA",2955445.17572579
2019,"FRA",2877950.23918237
2020,"FRA",2854257.28166933
2010,"FRO",1199.20437438092
2011,"FRO",1113.12525337599
2012,"FRO",973.68929328711
2013,"FRO",1240.24442537284
2014,"FRO",1530.66694390103
2015,"FRO",1415.3722550636
2016,"FRO",1538.25324880493
2017,"FRO",1740.40383826441
2018,"FRO",1769.99152343578
2019,"FRO",1875.86776185342
2020,"FRO",2249.38243785617
2010,"FSM",148.303152699726
2011,"FSM",119.06386478175
2012,"FSM",154.966687288096
2013,"FSM",157.934112683597
2014,"FSM",158.759555218236
2015,"FSM",132.936956565473
2016,"FSM",216.945732525296
2017,"FSM",145.655633266422
2018,"FSM",304.817192738375
2019,"FSM",148.423253884599
2020,"FSM",139.087520675803
2010,"GAB",4764.27576248254
2011,"GAB",8630.02457313862
2012,"GAB",9205.54381674948
2013,"GAB",8652.57534147894
2014,"GAB",8670.01210726323
2015,"GAB",8474.36123433461
2016,"GAB",6574.73527227082
2017,"GAB",6404.01718049582
2018,"GAB",6939.57654975675
2019,"GAB",6104.50755732068
2020,"GAB",5412.5550578877
2010,"GBR",2558475.1776963
2011,"GBR",2557573.28950583
2012,"GBR",2663161.69850366
2013,"GBR",2736565.96866367
2014,"GBR",3091438.21076194
2015,"GBR",3348484.12069329
2016,"GBR",2965771.83981314
2017,"GBR",2872408.16006645
2018,"GBR",2806322.98224068
2019,"GBR",2977318.30578125
2020,"GBR",2720338.46615537
2010,"GEO",9022.95209120931
2011,"GEO",14995.6765653466
2012,"GEO",14032.4602404342
2013,"GEO",13821.0693592915
2014,"GEO",15314.3365305834
2015,"GEO",14707.3163314206
2016,"GEO",14578.532160092
2017,"GEO",16530.9501356133
2018,"GEO",16340.0748701855
2019,"GEO",16385.0228633895
2020,"GEO",17869.8820969579
2010,"GHA",21117.5892721046
2011,"GHA",34870.2550516984
2012,"GHA",38698.9565406047
2013,"GHA",43992.5484984834
2014,"GHA",47174.7723760351
2015,"GHA",44052.9741957389
2016,"GHA",49442.3236555725
2017,"GHA",50779.9537254939
2018,"GHA",50218.7071135281
2019,"GHA",45295.3745108273
2020,"GHA",95978.9712380449
2010,"GIN",6526.75827692689
2011,"GIN",6958.1325720467
2012,"GIN",9062.90863497545
2013,"GIN",10503.6275991483
2014,"GIN",10812.5220624707
2015,"GIN",11332.5053397446
2016,"GIN",6301.62160385105
2017,"GIN",9475.08402445278
2018,"GIN",10298.0850646834
2019,"GIN",11386.1812670363
2020,"GIN",7964.31195818246
2010,"GMB",8983.5579135596
2011,"GMB",13309.608169624
2012,"GMB",12049.577963514
2013,"GMB",14815.8928736375
2014,"GMB",11748.3887186855
2015,"GMB",11845.453744894
2016,"GMB",9493.8132824874
2017,"GMB",11031.8239052308
2018,"GMB",9446.12849452208
2019,"GMB",12626.2769526505
2020,"GMB",11712.8790707345
2010,"GNB",401.034367859608
2011,"GNB",583.381541084899
2012,"GNB",772.311881890711
2013,"GNB",664.288585143353
2014,"GNB",585.513221845107
2015,"GNB",611.122975469431
2016,"GNB",568.403426403542
2017,"GNB",648.654850690044
2018,"GNB",504.897909871425
2019,"GNB",573.777874086997
2020,"GNB",631.633328617263
2010,"GNQ",2281.26262786038
2011,"GNQ",3721.44390271285
2012,"GNQ",3000.18357817774
2013,"GNQ",3569.07524209302
2014,"GNQ",3898.03617508247
2015,"GNQ",2569.93956588914
2016,"GNQ",2112.17904902607
2017,"GNQ",1339.71919949255
2018,"GNQ",1650.34384830353
2019,"GNQ",1373.04806863005
2020,"GNQ",1151.20000311368
2010,"GRC",314769.221523942
2011,"GRC",245985.913398138
2012,"GRC",199876.064337674
2013,"GRC",197089.416701641
2014,"GRC",198422.636801715
2015,"GRC",175041.39459914
2016,"GRC",198001.343640508
2017,"GRC",195734.322018314
2018,"GRC",200459.196094267
2019,"GRC",238100.086203478
2020,"GRC",206008.932389043
2010,"GRL",1038.61702183454
2011,"GRL",832.607845342238
2012,"GRL",1229.2812117904
2013,"GRL",1329.45942147166
2014,"GRL",1381.81883830129
2015,"GRL",1405.51955128693
2016,"GRL",1455.55311723267
2017,"GRL",1569.55232446903
2018,"GRL",1659.34188271267
2019,"GRL",1440.06760790212
2020,"GRL",1413.38108310094
2010,"GTM",109022.757432952
2011,"GTM",111813.667690053
2012,"GTM",118061.096780697
2013,"GTM",138151.425680378
2014,"GTM",136522.480401608
2015,"GTM",166685.510013412
2016,"GTM",170250.409701577
2017,"GTM",177975.264742183
2018,"GTM",189755.105933846
2019,"GTM",189455.608053732
2020,"GTM",186553.444339738
2010,"GUM",857.247503190163
2011,"GUM",758.571031457822
2012,"GUM",808.106458529128
2013,"GUM",776.387550472445
2014,"GUM",624.790297605639
2015,"GUM",528.182974748592
2016,"GUM",515.46901051005
2017,"GUM",567.545385416617
2018,"GUM",603.093753370106
2019,"GUM",748.887785602301
2020,"GUM",594.351465546618
2010,"HKG",216418.2129503
2011,"HKG",207765.539773421
2012,"HKG",209792.861398778
2013,"HKG",221599.962497798
2014,"HKG",212864.816337983
2015,"HKG",234830.990552305
2016,"HKG",237751.91818243
2017,"HKG",219648.463801927
2018,"HKG",213457.229833129
2019,"HKG",193460.509518325
2020,"HKG",140192.784197777
2010,"HND",107625.574242236
2011,"HND",104868.789109081
2012,"HND",105477.465725557
2013,"HND",116033.039188315
2014,"HND",107238.733127208
2015,"HND",118898.135334696
2016,"HND",123532.867350864
2017,"HND",123368.292862608
2018,"HND",131057.970202339
2019,"HND",150752.125286456
2020,"HND",137443.929905998
2010,"HRV",102480.089868007
2011,"HRV",109895.861942385
2012,"HRV",96210.3830612048
2013,"HRV",90259.7189443844
2014,"HRV",102845.133442048
2015,"HRV",90468.9273508236
2016,"HRV",95144.8017644082
2017,"HRV",97799.1667866209
2018,"HRV",100714.118517994
2019,"HRV",97768.8464676804
2020,"HRV",100977.223940901
2010,"HTI",97364.5789046402
2011,"HTI",103044.945471151
2012,"HTI",118141.84871793
2013,"HTI",119282.209614189
2014,"HTI",115790.431533047
2015,"HTI",119586.120363615
2016,"HTI",110800.417430499
2017,"HTI",117039.580127074
2018,"HTI",122783.04760978
2019,"HTI",117771.489602645
2020,"HTI",137290.406473907
2010,"HUN",100101.107897356
2011,"HUN",107924.866636736
2012,"HUN",99229.5074307414
2013,"HUN",111349.750023356
2014,"HUN",116999.386237893
2015,"HUN",107512.845250179
2016,"HUN",115582.287400859
2017,"HUN",128373.877912262
2018,"HUN",133341.495859941
2019,"HUN",127600.252684903
2020,"HUN",123497.138633451
2010,"IDN",1226612.96733545
2011,"IDN",1312395.29797695
2012,"IDN",1459853.52246602
2013,"IDN",1511626.38469436
