"Year","Region","iso_code3","cost_enfu_fuel_oil_usd_per_m3"
2015,"louisiana","LA",254.594303108828
2016,"louisiana","LA",254.594303108828
2017,"louisiana","LA",254.594303108828
2018,"louisiana","LA",254.594303108828
2019,"louisiana","LA",254.594303108828
2020,"louisiana","LA",254.594303108828
2021,"louisiana","LA",216.331563914848
2022,"louisiana","LA",221.012559008966
2023,"louisiana","LA",243.405190227096
