"Year","Region","iso_code3","cost_enfu_fuel_furnace_gas_usd_per_m3"
2015,"louisiana","LA",13725.64626
2016,"louisiana","LA",13725.64626
2017,"louisiana","LA",13725.64626
2018,"louisiana","LA",13725.64626
2019,"louisiana","LA",13725.64626
2020,"louisiana","LA",13725.64626
2021,"louisiana","LA",13725.64626
2022,"louisiana","LA",13725.64626
2023,"louisiana","LA",13725.64626
