"iso_code3","frac_waso_non_recycled_landfilled","Year"
"LA",0.804281345565749,2021
"LA",0.804281345565749,2022
"LA",0.804281345565749,2023
"LA",0.804281345565749,2024
"LA",0.804281345565749,2025
"LA",0.804281345565749,2026
"LA",0.804281345565749,2027
"LA",0.804281345565749,2028
"LA",0.804281345565749,2029
"LA",0.804281345565749,2030
"LA",0.804281345565749,2031
"LA",0.804281345565749,2032
"LA",0.804281345565749,2033
"LA",0.804281345565749,2034
"LA",0.804281345565749,2035
"LA",0.804281345565749,2036
"LA",0.804281345565749,2037
"LA",0.804281345565749,2038
"LA",0.804281345565749,2039
"LA",0.804281345565749,2040
"LA",0.804281345565749,2041
"LA",0.804281345565749,2042
"LA",0.804281345565749,2043
"LA",0.804281345565749,2044
"LA",0.804281345565749,2045
"LA",0.804281345565749,2046
"LA",0.804281345565749,2047
"LA",0.804281345565749,2048
"LA",0.804281345565749,2049
"LA",0.804281345565749,2050
