,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_cement
0,LA,louisiana,2010,0.0013553444079562502
1,LA,louisiana,2011,0.0012903027093107194
2,LA,louisiana,2012,0.0011944766099871388
3,LA,louisiana,2013,0.001212756602758339
4,LA,louisiana,2014,0.001113156901365404
5,LA,louisiana,2015,0.00081398061086784
6,LA,louisiana,2016,0.000717585365126196
7,LA,louisiana,2017,0.0006310290794732407
8,LA,louisiana,2018,0.0007295589880267488
9,LA,louisiana,2019,0.0007569001596068132
10,LA,louisiana,2020,0.0007073178681575412
