Year,prodinit_ippu_wood_tonne,Iso_code3,Region
2015,18333230,LA,louisiana
2016,18333230,LA,louisiana
2017,18333230,LA,louisiana
2018,18333230,LA,louisiana
2019,18333230,LA,louisiana
2020,18333230,LA,louisiana
