Year,Region,iso_code3,yf_agrc_sugar_cane_tonne_ha
2024,louisiana,LA,89.33492996
2025,louisiana,LA,89.33492996
2026,louisiana,LA,89.33492996
2027,louisiana,LA,89.33492996
2028,louisiana,LA,89.33492996
2029,louisiana,LA,89.33492996
2030,louisiana,LA,89.33492996
2031,louisiana,LA,89.33492996
2032,louisiana,LA,89.33492996
2033,louisiana,LA,89.33492996
2034,louisiana,LA,89.33492996
2035,louisiana,LA,89.33492996
2036,louisiana,LA,89.33492996
2037,louisiana,LA,89.33492996
2038,louisiana,LA,89.33492996
2039,louisiana,LA,89.33492996
2040,louisiana,LA,89.33492996
2041,louisiana,LA,89.33492996
2042,louisiana,LA,89.33492996
2043,louisiana,LA,89.33492996
2044,louisiana,LA,89.33492996
2045,louisiana,LA,89.33492996
2046,louisiana,LA,89.33492996
2047,louisiana,LA,89.33492996
2048,louisiana,LA,89.33492996
2049,louisiana,LA,89.33492996
2050,louisiana,LA,89.33492996
