iso_code3,Region,Year,frac_inen_energy_recycled_plastic_electricity
LA,louisiana,2000,0.6041481651244736
LA,louisiana,2001,0.5802791110617873
LA,louisiana,2002,0.5462473195139386
LA,louisiana,2003,0.5768430574400724
LA,louisiana,2004,0.5898667272882271
LA,louisiana,2005,0.5930761505287411
LA,louisiana,2006,0.6172085850147796
LA,louisiana,2007,0.6172152047126402
LA,louisiana,2008,0.6171916334520828
LA,louisiana,2009,0.6172133406835723
LA,louisiana,2010,0.5975459231830393
LA,louisiana,2011,0.6269512154006945
LA,louisiana,2012,0.6344445505778966
LA,louisiana,2013,0.6410087512938741
LA,louisiana,2014,0.5852461236373485
LA,louisiana,2015,0.5711220624224749
LA,louisiana,2016,0.580022701475596
LA,louisiana,2017,0.5835137813337249
LA,louisiana,2018,0.5938075506445671
LA,louisiana,2019,0.5756891766882517
LA,louisiana,2020,0.5729979426264509
