,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing
0,LA,louisiana,2010,0.9684526490843578
1,LA,louisiana,2011,1.0227917734856216
2,LA,louisiana,2012,1.0440687330306728
3,LA,louisiana,2013,1.046280830465959
4,LA,louisiana,2014,1.031835771995335
5,LA,louisiana,2015,1.0170789164523022
6,LA,louisiana,2016,1.1121625401208721
7,LA,louisiana,2017,1.1322707487766162
8,LA,louisiana,2018,1.1417711034729179
9,LA,louisiana,2019,1.1440987735113417
10,LA,louisiana,2020,1.2560182758955194
