Year,consumpinit_scoe_tj_per_mmmgdp_other_se_elec_appliances,Iso_code3,Region
2015,35.283371098980325,LA,louisiana
2016,36.78271147708916,LA,louisiana
2017,37.27722925023141,LA,louisiana
2018,36.90979275004425,LA,louisiana
2019,37.37168891982535,LA,louisiana
2020,38.875012590306845,LA,louisiana
2021,40.15561172581879,LA,louisiana
