iso_code3,Region,Year,frac_inen_energy_recycled_wood_solid_biomass
LA,louisiana,2021,0.6124490690247623
LA,louisiana,2022,0.6300563280446919
LA,louisiana,2023,0.6444682777541019
LA,louisiana,2024,0.6538079674016454
LA,louisiana,2025,0.6598663317575916
LA,louisiana,2026,0.6642746824074766
LA,louisiana,2027,0.6680982531934997
LA,louisiana,2028,0.6718790952201931
LA,louisiana,2029,0.6757882320851197
LA,louisiana,2030,0.679779773329814
LA,louisiana,2031,0.6837344691939578
LA,louisiana,2032,0.6876158503345632
LA,louisiana,2033,0.6913805925440905
LA,louisiana,2034,0.6950191113419028
LA,louisiana,2035,0.6985406954472234
LA,louisiana,2036,0.7019600198696131
LA,louisiana,2037,0.7052894530468419
LA,louisiana,2038,0.708536755917735
LA,louisiana,2039,0.7117059049188031
LA,louisiana,2040,0.7147988784744437
LA,louisiana,2041,0.7178171375800794
LA,louisiana,2042,0.7207623973015272
LA,louisiana,2043,0.7236368019579639
LA,louisiana,2044,0.7264427855869613
LA,louisiana,2045,0.7291828583727912
LA,louisiana,2046,0.7318594480533384
LA,louisiana,2047,0.7344748282319205
LA,louisiana,2048,0.7370311126636088
LA,louisiana,2049,0.7395302808741056
LA,louisiana,2050,0.7419742083929158
