iso_alpha_3,year,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
ABW,2010,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
ABW,2011,201611.942,2142.63147429096,2862.14291139348,512.264626552565,87509.8320103587,15816.4866872495,1052.08761080316,5558.39916705089,1936.66467714128,178.958699951128,1107.37734191545
ABW,2012,220618.9462,1693.33973779326,2450.69594825699,541.763235930804,32682.8649071637,14887.9398269759,749.746553393492,6412.8284882192,1820.24977541266,140.735184696047,966.834430289867
ABW,2013,127891.1703,1374.08781145417,2621.56499735452,404.778476870099,0.0,13439.9859193459,401.177622321458,5587.370323288,1800.47674262246,165.078383451564,1101.08172039589
ABW,2014,209124.8494,3879.70650725396,2797.82391189075,464.19808821957,7561.82665963272,13445.3620252162,1537.6551177799,6119.47974653002,2126.28662490387,195.972510861744,1204.27268831673
ABW,2015,308493.8248,1196.76032561911,3237.1293112262,689.02940701807,14668.2098974327,16065.8817873355,192.992705852846,9495.13059265656,2616.31467535734,267.113997849575,1736.18026271507
ABW,2016,306228.1122,1541.36758532616,3423.38783956898,595.590658262581,6510.21626099212,27016.5944591848,4590.76027697739,8526.25409623731,3562.96425170633,300.165639260946,1838.86380135465
ABW,2017,306935.3168,1308.08836086322,3520.61182317584,404.024604991981,10368.0643810934,25404.6696008881,1236.48019276422,7429.89503574019,2821.27507096035,250.478424405532,1423.10724381142
ABW,2018,274336.0202,1100.70077550691,3422.72639884085,515.005703067109,4265.58867742318,16237.6642133901,253.068401537661,7616.03200909559,2869.00695191352,248.312512673936,1589.97977297901
ABW,2019,320920.3364,1738.21689023911,6582.21506443224,649.776776636866,31290.2989994793,23522.4906150924,844.854845378019,9563.04373455729,3633.43724288473,298.190914394863,1766.45452519521
ABW,2020,170508.712,1327.43108854793,3313.71567192532,369.786800240653,42620.9188443023,19014.3949623376,523.620945100255,7193.43766677929,2543.46505848782,186.378207150829,1038.18379321441
ABW,2021,170508.7,1327.431,3313.716,369.7868,42620.92,19014.39,523.6209,7193.438,2543.465,186.3782,1038.184
ABW,2022,181643.7234,1475.95688317481,3472.20097583822,372.303389244415,inf,20676.1877526427,1751.19791499623,7377.09668682196,2685.32472127911,186.021266922802,1059.12899198359
ABW,2023,193505.9164,1641.1012858605,3638.2658069104,374.837105172166,inf,22483.2213908799,5856.70689899339,7565.44444071382,2835.09655478362,185.665017408497,1080.49654171146
ABW,2024,206142.7666,1824.72364955529,3812.27301467994,377.388064339134,inf,24448.184073329,19587.1725331461,7758.60098021635,2993.22179222977,185.309450147993,1102.29517413542
