,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_cement
0,LA,Louisiana,2021,0.0007073178681575412
1,LA,Louisiana,2022,0.0007073178681575412
2,LA,Louisiana,2023,0.0007073178681575412
3,LA,Louisiana,2024,0.0007073178681575412
4,LA,Louisiana,2025,0.0007073178681575412
5,LA,Louisiana,2026,0.0007073178681575412
6,LA,Louisiana,2027,0.0007073178681575412
7,LA,Louisiana,2028,0.0007073178681575412
8,LA,Louisiana,2029,0.0007073178681575412
9,LA,Louisiana,2030,0.0007073178681575412
10,LA,Louisiana,2031,0.0007073178681575412
11,LA,Louisiana,2032,0.0007073178681575412
12,LA,Louisiana,2033,0.0007073178681575412
13,LA,Louisiana,2034,0.0007073178681575412
14,LA,Louisiana,2035,0.0007073178681575412
15,LA,Louisiana,2036,0.0007073178681575412
16,LA,Louisiana,2037,0.0007073178681575412
17,LA,Louisiana,2038,0.0007073178681575412
18,LA,Louisiana,2039,0.0007073178681575412
19,LA,Louisiana,2040,0.0007073178681575412
20,LA,Louisiana,2041,0.0007073178681575412
21,LA,Louisiana,2042,0.0007073178681575412
22,LA,Louisiana,2043,0.0007073178681575412
23,LA,Louisiana,2044,0.0007073178681575412
24,LA,Louisiana,2045,0.0007073178681575412
25,LA,Louisiana,2046,0.0007073178681575412
26,LA,Louisiana,2047,0.0007073178681575412
27,LA,Louisiana,2048,0.0007073178681575412
28,LA,Louisiana,2049,0.0007073178681575412
29,LA,Louisiana,2050,0.0007073178681575412
