,iso_code3,Region,Year,occrate_trns_passenger_per_vehicle_human_powered
0,LA,louisiana,2024,1
1,LA,louisiana,2025,1
2,LA,louisiana,2026,1
3,LA,louisiana,2027,1
4,LA,louisiana,2028,1
5,LA,louisiana,2029,1
6,LA,louisiana,2030,1
7,LA,louisiana,2031,1
8,LA,louisiana,2032,1
9,LA,louisiana,2033,1
10,LA,louisiana,2034,1
11,LA,louisiana,2035,1
12,LA,louisiana,2036,1
13,LA,louisiana,2037,1
14,LA,louisiana,2038,1
15,LA,louisiana,2039,1
16,LA,louisiana,2040,1
17,LA,louisiana,2041,1
18,LA,louisiana,2042,1
19,LA,louisiana,2043,1
20,LA,louisiana,2044,1
21,LA,louisiana,2045,1
22,LA,louisiana,2046,1
23,LA,louisiana,2047,1
24,LA,louisiana,2048,1
25,LA,louisiana,2049,1
26,LA,louisiana,2050,1
