"iso_code3","frac_waso_initial_composition_mun_wood","Year"
"LA",0.062,2021
"LA",0.062,2022
"LA",0.062,2023
"LA",0.062,2024
"LA",0.062,2025
"LA",0.062,2026
"LA",0.062,2027
"LA",0.062,2028
"LA",0.062,2029
"LA",0.062,2030
"LA",0.062,2031
"LA",0.062,2032
"LA",0.062,2033
"LA",0.062,2034
"LA",0.062,2035
"LA",0.062,2036
"LA",0.062,2037
"LA",0.062,2038
"LA",0.062,2039
"LA",0.062,2040
"LA",0.062,2041
"LA",0.062,2042
"LA",0.062,2043
"LA",0.062,2044
"LA",0.062,2045
"LA",0.062,2046
"LA",0.062,2047
"LA",0.062,2048
"LA",0.062,2049
"LA",0.062,2050
