"Year","iso_code3","Region","occrateinit_gnrl_occupancy"
2000,"LA","louisiana",2.59
2001,"LA","louisiana",2.59
2002,"LA","louisiana",2.59
2003,"LA","louisiana",2.59
2004,"LA","louisiana",2.59
2005,"LA","louisiana",2.59
2006,"LA","louisiana",2.59
2007,"LA","louisiana",2.59
2008,"LA","louisiana",2.59
2009,"LA","louisiana",2.59
2010,"LA","louisiana",2.59
2011,"LA","louisiana",2.59
2012,"LA","louisiana",2.59
2013,"LA","louisiana",2.59
2014,"LA","louisiana",2.59
