iso_code3,Region,Year,frac_inen_energy_other_product_manufacturing_oil
LA,louisiana,2021,0.1849347692164358
LA,louisiana,2022,0.1931685043775637
LA,louisiana,2023,0.201054753471294
LA,louisiana,2024,0.2089844719745226
LA,louisiana,2025,0.2176993908460128
LA,louisiana,2026,0.2266506955297935
LA,louisiana,2027,0.23572311837768
LA,louisiana,2028,0.2446555457868434
LA,louisiana,2029,0.2534767693487511
LA,louisiana,2030,0.2621410130335838
LA,louisiana,2031,0.2707046164417481
LA,louisiana,2032,0.2791347297940311
LA,louisiana,2033,0.2874408552702853
LA,louisiana,2034,0.2955877310025899
LA,louisiana,2035,0.3035768993445716
LA,louisiana,2036,0.3113907896981997
LA,louisiana,2037,0.3190995315297466
LA,louisiana,2038,0.326625420224865
LA,louisiana,2039,0.3339683716088075
LA,louisiana,2040,0.340933749742931
LA,louisiana,2041,0.3475345700377943
LA,louisiana,2042,0.3539513566780155
LA,louisiana,2043,0.3600285891570763
LA,louisiana,2044,0.3656109610451411
LA,louisiana,2045,0.3710250134116466
LA,louisiana,2046,0.3762743142712833
LA,louisiana,2047,0.3813635349634398
LA,louisiana,2048,0.3862967796710099
LA,louisiana,2049,0.3910787339801863
LA,louisiana,2050,0.3957137453080371
