Year,frac_scoe_heat_energy_other_se_natural_gas,Iso_code3,Region
2015,0.0992813383854348,LA,louisiana
2016,0.116231265047257,LA,louisiana
2017,0.1397359643687476,LA,louisiana
2018,0.1346302213006366,LA,louisiana
2019,0.1292244534314951,LA,louisiana
2020,0.0605708788993946,LA,louisiana
2021,0.0962708529143477,LA,louisiana
