Year,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_heat_energy,Iso_code3,Region
2022,0.39,LA,louisiana
2023,0.39,LA,louisiana
2024,0.38,LA,louisiana
2025,0.38,LA,louisiana
2026,0.37,LA,louisiana
2027,0.36,LA,louisiana
2028,0.36,LA,louisiana
2029,0.35,LA,louisiana
2030,0.35,LA,louisiana
2031,0.34,LA,louisiana
2032,0.34,LA,louisiana
2033,0.33,LA,louisiana
2034,0.33,LA,louisiana
2035,0.32,LA,louisiana
2036,0.32,LA,louisiana
2037,0.31,LA,louisiana
2038,0.31,LA,louisiana
2039,0.3,LA,louisiana
2040,0.29,LA,louisiana
2041,0.29,LA,louisiana
2042,0.28,LA,louisiana
2043,0.28,LA,louisiana
2044,0.27,LA,louisiana
2045,0.27,LA,louisiana
2046,0.26,LA,louisiana
2047,0.26,LA,louisiana
2048,0.25,LA,louisiana
2049,0.25,LA,louisiana
2050,0.24,LA,louisiana
