"iso_code3","frac_waso_recycled_textiles","Year"
"LA",0.346,2021
"LA",0.346,2022
"LA",0.346,2023
"LA",0.346,2024
"LA",0.346,2025
"LA",0.346,2026
"LA",0.346,2027
"LA",0.346,2028
"LA",0.346,2029
"LA",0.346,2030
"LA",0.346,2031
"LA",0.346,2032
"LA",0.346,2033
"LA",0.346,2034
"LA",0.346,2035
"LA",0.346,2036
"LA",0.346,2037
"LA",0.346,2038
"LA",0.346,2039
"LA",0.346,2040
"LA",0.346,2041
"LA",0.346,2042
"LA",0.346,2043
"LA",0.346,2044
"LA",0.346,2045
"LA",0.346,2046
"LA",0.346,2047
"LA",0.346,2048
"LA",0.346,2049
"LA",0.346,2050
