"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Brazil","BRA","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","164.1000061035","180.1999969482","254.3000030518","316.700012207","407.1000061035","460.5","471.6000061035","499.299987793","571.299987793","570.5","588.200012207","644.9000244141","734.700012207","692.0999755859","831.700012207","909.200012207","1014.4000244141","1013.700012207","975.799987793","1147.9000244141","1082","1005.299987793","1143.3000488281","1284.3000488281","1468.5","1581.9000244141","1644.8000488281","1789.9000244141","1642.8000488281","1462.9000244141","1727.901","1467.445","1539.738","1478.37","1499.485","1530.675","1412.26","1477.828","1807.062","1782.3","1302.474647875","1294.49545","1363.447091","1637.382","1596.774","1493.939","1513.832873341","1736.549227","1845.64776","1521.14944","1209.70683","",
"Barbados","BRB","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","0.200000003","0.8999999762","0.8999999762","0.5","0.3000000119","1.2999999523","","0.3000000119","2.5999999046","4.3000001907","2.5999999046","0.400000006","0.400000006","0.400000006","0.400000006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","4.5999999046","4.4000000954","4.5","4.9000000954","6","8.6000003815","9.8999996185","22","30","64.8000030518","94.4000015259","110","108.0999984741","120.4000015259","120.4000015259","148.8999938965","140.231","126.014","161.477","149.443","131.441","134.136","130.181","116.368","104.195","90.441","148.524","149.579","128.234","127.595004","115.389","115.147","124.259","132.612","129.352","122.45694","40.227","",
"Bhutan","BTN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.2","0.21","0.246","0.253","0.263","0.279","0.264","0.448","0.421937731663489","0.483705822187223","0.471","0.635292","0.922884","0.538041372","0.65910068","0.530672","0.690916","0.318844","0.510072","",
"Botswana","BWA","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.200000003","0.400000006","3.0999999046","0.400000006","0.6000000238","0.8000000119","0.5","0.3000000119","0.200000003","0.200000003","0.200000003","0.200000003","0.267","0.287","0.306","0.277","0.299","0.315","0","","","0","0.121","0.121","0.129878466595379","0.141492","0.107736","","","0.14564","0.113606","0.675495","0","",
"Central African Republic","CAF","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.8000001907","7.0999999046","8","8.3000001907","10.8000001907","11.5","13.1999998093","13.1000003815","14.6999998093","17.2000007629","18.1000003815","21.1000003815","21.1000003815","18.7999992371","17.5","18.5","16.6000003815","16.3999996185","16","18.1000003815","17.7999992371","16.2000007629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","370.8999938965","403.5","433.3999938965","484.200012207","520.299987793","534.299987793","567.700012207","550.4000244141","608.5999755859","670.4000244141","688.5999755859","713.0999755859","746.5999755859","825.5999755859","967.200012207","989.799987793","977","1006.799987793","1170.5999755859","1311.3000488281","1385.3000488281","1241.4000244141","1249.6999511719","1369.1999511719","1478.5999755859","1637.4000244141","1781","1956.5","1805.6999511719","1881.5999755859","1896.114","1709.813","1578.027","1496.297","1656.579","1526.819","1503.185","1429.845","1388.665","1346.938","1957.32853635002","1980","1960","1946.30559714895","2084.318163","2074.830881067","2246.22709557467","2840.9851350232","2482","3109.04305844707","2306.166349","",
"Central Europe and the Baltics","CEB","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","36.0000000001","37.8999996184","40.0999994277","42.1000008583","44","45.4000000953","47.3000001908","52.1999998093","56.1999998093","59.4000015259","56.3000001907","54.6999998092","46.5000000001","44","51.5000000001","53.1000008583","54.1000003815","55.1000003815","58.3000011443","74.0999984742","91.0000019073","84.7999978065","108.6999995261","133.7000001073","153.1999993623","177.0999965742","169.9999990611","204.8000021726","207.4740037939","181.2190047536","190.892","150.13","140.548","154.178","159.906","151.235","169.074","219.086","192.783","124.73","122.821185504833","86.1420568679561","123.186723538612","135.89104478","165.63870558","153.047416682","190.546780646509","258.60434","305.88687","351.15340896","154.102301842344","",
"Switzerland","CHE","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","169.1000061035","181.8999938965","198.1999969482","236.6000061035","272.200012207","285.799987793","320.8999938965","350.8999938965","402.5","407","421.5","453.299987793","461.299987793","540","633.5999755859","636.799987793","673.9000244141","734","813.5","888.700012207","928.5","944.799987793","1063.5999755859","1247.3000488281","1408.4000244141","1509.5","1511.3000488281","1829.6999511719","1963.4000244141","1877.3000488281","1971.647","1641.819","1028.307","1248.302","1089.934","1109.641","1039.027","1104.843","1181.567","1057.893","1282.496418","1354.590823","1371.470116","1444.374258","1508.892548","1409.329209","1532.761243","1581.35236","1841.314","1640.735","842.992","",
"Channel Islands","CHI","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","41.0999984741","46.7999992371","52.7000007629","46.7000007629","55.2000007629","57.2000007629","75.6999969482","105.1999969482","102.0999984741","85","144.8999938965","153.3000030518","141.6999969482","120.3000030518","105.4000015259","114.1999969482","137.1999969482","186.3999938965","242.8000030518","329.5","418.5","428.8999938965","529","616.200012207","652.5","775.4000244141","806.200012207","1071.1999511719","1246.1999511719","1139.4000244141","1312.011","1277.282","1098.015","1130.19","1094.133","1053.819","1027.669","1294.967","1307.721","1179.048","1399.549392","1422.29934","1527.067","1512.319","1553.479","1392.236","1441.23","1237.960141","1226.44199","1232.41109","1458.39578","",
"China","CHN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","29.2000007629","46.2000007629","49","60","86","123","120.9000015259","155.3999938965","184.1999969482","216","302","403","467.5","647.5","731.799987793","683.0999755859","818.299987793","1009.5","1316","1547","1717.1999511719","1501","1688.5999755859","2083.6000976563","2474.1999511719","3295.3999023438","3900.08","4232.312","5013.505","5650.63","7024.25","7579.401","7692.205","11189.538","11386.055","11976.438","17193.8774","16764.869","15568.753","16053.7331","17822.581","19805.63","21304.5851","23323.6147","25256.2071","25394.5878","19264.2436","",
"Cote d'Ivoire","CIV","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.9000000954","7.1999998093","8.1000003815","8.3999996185","10.8999996185","11.6000003815","13.1999998093","13.1999998093","14.8000001907","17.2999992371","18.2000007629","21.3999996185","21.3999996185","19.1000003815","17.7999992371","18.3999996185","16.6000003815","16.2999992371","15.8999996185","18.1000003815","17.7000007629","16.1000003815","15.1999998093","14.3000001907","14.5","15.3000001907","16.5","15.3000001907","13.6000003815","13.8000001907","12.292","7.364","","","","","","","","","15.376963961","2.70860361698403","0","4.563948","4.71912","0.983368072842825","1.20223033825879","5.41940666666667","4.16026898442412","9.166862","4.317833","",
"Cameroon","CMR","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.9000000954","6.8000001907","4.3000001907","7.4000000954","8.3000001907","8.5","5.6999998093","5.8000001907","7.8000001907","8.1999998093","27.7000007629","31.3999996185","45.7000007629","43.5","55.5","56.9000015259","34.7999992371","36.7000007629","38.2999992371","19.1000003815","13.1000003815","9.6000003815","9.3000001907","21.7000007629","25","38.9000015259","41.5999984741","34.4000015259","51.5999984741","46.5","42.03","36.88","42.717","20.254","22.825","24.399","29.001","26.095","25.522","23.105","0","0","0","0","","","","","0.066817","0.031566","0.024731","",
"Congo, Dem. Rep.","COD","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","13.6999998093","17.2999992371","18.8999996185","24.6000003815","33.9000015259","44.7999992371","53.5","42","37.5","41.5","34.5","38.4000015259","30.7000007629","28.8999996185","32","30.5","31.1000003815","52.5","55.2999992371","59.7000007629","57.2999992371","33.2000007629","28.5","22.1000003815","43.0999984741","","","","","","","7.40000009536743","","","","","","","","","0","0","0.206531325","0.081984","0.084444","0.0858397685950413","0.058456882","0.228606","0.915105","0.7512","0.962586878523834","",
"Congo, Rep.","COG","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.9000000954","7.3000001907","8.1999998093","8.5","11.1000003815","11.8000001907","13.5","13.3999996185","15.1000003815","17.5","18.3999996185","21.3999996185","21.5","20.2000007629","19","20","17.7000007629","16.8999996185","16.5","18.6000003815","18.3999996185","16.7999992371","15.8000001907","14.8999996185","15.1000003815","16","17.2000007629","15.6000003815","13.8000001907","13.6999998093","12.273","7.364","0","0","","","","","","","1.86657368035625","1.43488058350513","1.59781520479946","2.384004","1.992936","4.36693937329617","4.52411089880374","4.59716061898045","4.59716061898045","4.15110874340146","1.437077376","",
"Colombia","COL","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","74.6999969482","81.5999984741","86.3000030518","104.4000015259","120","121.9000015259","149.6000061035","171.8999938965","206.3999938965","183.1000061035","147.3999938965","204","307.200012207","292.5","381.200012207","375.700012207","391.6000061035","398.299987793","403.299987793","395.299987793","463.700012207","526.0999755859","527.799987793","492.1000061035","565.799987793","498.3999938965","311.200012207","812","790.200012207","636.9000244141","600.616","610.878","538.757","645.778","1113.899","1092.492","1051.293","1070.449","1099.545","2419.933","954.66013894833","968.160358466796","918.324091591658","1222.15686718904","1315.40395631937","1316.795809466","1142.854709203","1273.568638","1350.008974","1547.674684","1496.604491452","",
"Comoros","COM","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","0.1000000015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","0.1000000015","0.1000000015","0.200000003","0.200000003","0.200000003","0.3000000119","0.3000000119","0.3000000119","0.400000006","0.400000006","0.3000000119","0.5","0.5","0.5","0.6000000238","0.6999999881","0.8000000119","0.8000000119","0.8000000119","0.8000000119","0.8000000119","0.6000000238","0.400000006","0.6000000238","0.64","0.366","0.368","0.406","0.834","1.506","1.79","1.611","1.574","1.426","1.641","1.95548997224695","2.17938738529673","1.941924","1.882368","","","","0.048636","0.049965","0.031316","",
"Costa Rica","CRI","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","9.3000001907","9.1999998093","8.6000003815","8.1000003815","9.1999998093","8.8999996185","13.1999998093","18.2999992371","18.8999996185","22","22.3999996185","20.8999996185","21.5","21","24","25.2999992371","24.7999992371","30","33.0999984741","32.7000007629","38.7000007629","36.0999984741","36.2000007629","37.9000015259","43.4000015259","43.7999992371","44.9000015259","54.5","90.5","84.8000030518","79.005","22.948","12.506","9.735","10.173","10.351","10.04","10.241","10.63","9.099","15.6977120470821","16.867234240556","15.744","13.537781","11.8182973850146","9.28416","6.027344","10.552031","11.13032","10.8","1.613892","",
