"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","127.4999979809","138.7999999601","150.5000025556","213.0999977514","261.3000076339","270.8000021505","304.200004153","326.2000020295","391.1000072733","462.2000007706","454.3999967502","516.0999968799","528.3000108301","613.5999866651","682.6999922918","664.4999902995","608.1000158712","694.2000133099","701.5999988021","695.3000008686","652.4999981448","618.800004229","764.6000094934","850.6999935808","894.1000067145","887.2999949828","968.1999940201","1093.2999872492","1150.7999711559","1392.6000193356","1442.264","1490.06300009537","1373.718","1534.583","1713.396","1732.591","2118.846","1817.78","1678.541","1713.188","2052.237887172","2138.53770944891","2485.77626262928","2642.20198198919","2722.61327188447","2739.36693923474","2870.64683913375","3607.12387761026","3526.787055136","3732.43122926741","3297.12948605016","",
"Afghanistan","AFG","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","7.5999999046","2.0999999046","0.8000000119","1.1000000238","13.3000001907","10.5","12.8999996185","13.8999996185","12.8999996185","19.1000003815","21.3999996185","19.3999996185","18.2999992371","11.3999996185","19.7999992371","19.8999996185","7.5","8.1000003815","8.8000001907","11.5","9.3999996185","8.3999996185","8.3999996185","6.6999998093","12.3000001907","12.8999996185","13.5","35.4000015259","15","7.4000000954","7.813","","","","","","","","","","108.019487128","109.421117469991","116.660723422675","84.621216","34.283472","33.102038592","29.010880897","21.462556513","29.5593487980126","20.0142059549175","19.878902393","",
"Africa Western and Central","AFW","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","81.5000020041","98.1999999058","105.1000007169","111.9000009073","140.4000006911","146.3000022323","160.9999996948","154.6000012682","165.4000006395","192.1000009032","251.7000031321","294.6999998241","318.2000003382","307.5999995395","304.8999965414","320.400000356","284.1000046061","282.3999965714","271.1999977155","263.3000022994","259.9000044687","248.2000021863","207.2999996247","215.4000003859","221.6999984682","237.6000039874","261.3999967722","249.9000009669","266.1999996304","266.6999979021","269.328","194.191","126.154","108.286","109.01","","","","","","85.9934915908082","77.2627685253505","73.3951597645617","65.8331921811429","70.8181919847372","42.8863101229897","39.6039806860625","41.3291975825265","39.6632286707762","32.2950492034015","21.731377376","",
"Angola","AGO","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","14.1999998093","13.3999996185","13.6000003815","16","20.8999996185","33.2000007629","20.7999992371","46.2000007629","25.1000003815","33.2000007629","24.7999992371","25.6000003815","26.8999996185","51.5999984741","39.9000015259","41.5","41.5","28.7999992371","55.5","58.2999992371","62.2000007629","41.5","38","51.7999992371","60.611","50.818","51.298","56.455","63.692","68.112","80.997","72.888","70.934","64.323","47.908","50.973","70.977","70.431","65.517","46.043","43.940435","67.32035","78.15964","68.04358","28.89977","",
"Albania","ALB","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003","0.003","0.144","0.088","0.099","0.1","0.105","0.107","0.106","0.153","0","0","0","0","","","","","0","0","0","",
"Andorra","AND","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","199.3000061659","271.0000023394","355.100004606","492.9000113532","556.5999877976","654.7999929489","838.3000017254","885.1000145079","929.6999979393","1108.200023301","1143.299975231","1221.70000346","1373.6999977232","1626.6999707819","1638.2999939023","1387.7000086382","1307.7000053522","1569.8000195623","1748.3000231386","1923.0000172631","1753.5999885575","1562.2000008596","1970.6000163554","2225.6999805569","2637.0999706387","2924.4000729621","2919.9999778868","3156.5000599027","3255.2000129819","3685.1999729274","4069.469","3977.352","4574.315","5348.805","6842.743","7614.616","8798.176","10073.09","13176.421","14557.538","15792.0945597642","17136.9274516384","19711.7646195193","22234.0136372668","24698.8996924264","25918.4579033048","27869.6950203519","30342.7250758281","31869.1803896217","31621.8505242479","27332.2207153544","",
"United Arab Emirates","ARE","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","2.2000000477","4","6.8000001907","8.1999998093","9.6000003815","14","26.2000007629","21.3999996185","21.6000003815","23.7999992371","30.7000007629","32.5999984741","48.5999984741","68.0999984741","96.1999969482","117.8000030518","145.1000061035","184.3999938965","267","365.3999938965","465.8999938965","557.200012207","651.299987793","809.4000244141","902","1129.6999511719","1456.349","1631.164","2079.338","2772.739","3733.658","4641.933","5735.78","6538.02","9289.48","8959.601","9774.15041487849","10434.8491894756","12032.543632735","14082.25474","15527.192868","15962.692","16138.874","16616.24461","15962.90443","14765.5995814573","12171.5568","",
"Argentina","ARG","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","47.9000015259","57.4000015259","79.6999969482","85.9000015259","98.1999969482","74.5999984741","96.3000030518","119.8000030518","120.5","136.8000030518","195.3999938965","195.5","170.6999969482","174.3000030518","179.8000030518","187.1000061035","192","197.5","193.6000061035","201.1999969482","213.6000061035","201.8999938965","206.6999969482","232","206.1999969482","177","176.6000061035","220.3000030518","251","241","296.646","124.402","76.419","111.811","123.637","132.558","124.583","132.675","131.685","111.663","193.301253837474","192.20126","180.120460072137","268.710767897573","261.60894","243.7725665","254.181413504","305.102","311.720805","280.283172","81.12423","",
"Armenia","ARM","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8000001907","10.6999998093","10.3999996185","11.3000001907","8.786","8.262","5.358","5.025","6.966","7.036","7.388","6.148","7.174","5.698","5.9795","4.4857","3.0115","0.999996","0","","","","0","0.3265","0.11692","",
"American Samoa","ASM","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00900000015407667","0.00953562016324629","0.0105628109495541","0.010932","0.011652","","","","","","","",
"Antigua and Barbuda","ATG","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.1000000015","0.200000003","0.200000003","0.200000003","0.200000003","0.200000003","0.200000003","0.200000003","0.200000003","0.200000003","0.200000003","0.200000003","0.200000003","0.215","0.221","0.194","0.196","0.196","0.188","0.182","0.186","0.193","0.165","0.785","0.737832657469009","0.647650744253274","0.592524","0.591624","0.52654536","0.54918681","0.322269","0.29449120996578","0.18092731080894","0.094624983","",
"Australia","AUS","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","234.6999969482","230.6999969482","220.1999969482","266.6000061035","315.299987793","326.5","354.200012207","376.1000061035","459.8999938965","528.299987793","516.5","556.4000244141","576","624.9000244141","734.0999755859","814.799987793","859.299987793","990.799987793","1027.0999755859","1125.3000488281","1222.3000488281","1222.5999755859","1361.5","1525.8000488281","1645.5","1737.5","1833.6999511719","1953.8000488281","1904.4000244141","1693","1730.735","1678.089","1544.717","1355.351","1898.071","2444.586","2569.506","2348.084","2212.439","2769.286","2938.314378037","2846.59879756427","2731.69798","1984.693734","1925.77200862967","1907.05190944687","1868.73262766","1982.586170817","2027.63710989603","1931.1555305","1200.644145234","",
"Austria","AUT","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.9000000954","3.0999999046","4.6999998093","6.3000001907","6.8000001907","6.5","8.1000003815","9.1999998093","10.3000001907","11.6999998093","11.6999998093","13.5","16.6000003815","17.2000007629","19.5","19.3999996185","19.6000003815","19.5","22.8999996185","41.5999984741","53.9000015259","59.2000007629","100.5999984741","129.6000061035","136.3999938965","173.3000030518","192.1000061035","236.3000030518","265.5","340.799987793","407.769","357.975","396.021","430.701","502.302","537.472","571.977","453.759","420.794","341.511","357.885","383.371","322.104","326.399","369.955","351.379","387.739","391.268","373.511","320.036527","74.560823","",
"Azerbaijan","AZE","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8999996185","26.8999996185","24.8999996185","34.4000015259","27.6000003815","33","92.5","58.2000007629","47.211","65.995","75.954","67.109","34.361","11.916","15.746","11.897","12.032","7.388","7.8084","9.5921","13.0443","17.9216","385.14865","686.94149","732.789755","61.6255","44.0886","1620.43791","2030.37809","",
"Burundi","BDI","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","0.1000000015","","","","","","","0.1000000015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","184","202.3999938965","224.5","238.6000061035","286.1000061035","281.200012207","316.700012207","338.8999938965","375.799987793","395.200012207","394.5","441.5","479.1000061035","489.1000061035","525.4000244141","565","574.799987793","535.5","650.5","660.700012207","656.4000244141","485.799987793","386.299987793","478.200012207","515.200012207","594.5999755859","590.9000244141","677.5999755859","473","535.4000244141","1017.479","852.778","655.425","604.608","712.952","705.13","740.386","755.193","981.682","1427.499","1067.351","1241.293","1369.89982037629","1560.81076","1596.3044","1479.9763156","1505.4059084","1574.378609","1285.344187","1353.426977272","1265.065943534","",
"Benin","BEN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.8000001907","7.0999999046","8","8.3000001907","10.8000001907","11.5","13.1000003815","13","14.6000003815","17.1000003815","18","21","21","18.7000007629","17.3999996185","18.3999996185","16.5","16.2999992371","15.8999996185","18","17.7000007629","16.1000003815","15.1999998093","14.1999998093","14.3999996185","15.3000001907","16.3999996185","15.3000001907","13.5","13.6999998093","12.273","7.364","","","","","","","","","0","0.441834952","0.441834952","1.265124","0.553884","0.805347336","0.006442778","","","","","",
"Burkina Faso","BFA","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.8000001907","7.0999999046","8","8.3000001907","10.8000001907","11.5","13.1000003815","13","14.6999998093","17.1000003815","18","21","21","18.7999992371","17.3999996185","18.3999996185","16.5","16.2999992371","15.8999996185","18","17.7000007629","16.1000003815","15.1999998093","14.3000001907","14.5","15.3000001907","16.5","15.3000001907","13.5","13.6999998093","12.273","7.364","0","0","0","0","0","","","0","0.101","0.0858059556370593","0.0711111031412642","0.062208","0.05088","0.055868736","0.022020102","0.022108182","0.104614","0.04808","0","",
"Bangladesh","BGD","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","1.2000000477","2.7000000477","5.3000001907","9.3000001907","17","15.1000003815","19","19.6000003815","19.7999992371","19.8999996185","20.6000003815","53.0999984741","68.8000030518","70.8000030518","83.1999969482","76.5","84.0999984741","69.5","99.4000015259","82.5999984741","47.7000007629","160.6000061035","165.3000030518","135.6999969482","199.8000030518","144.8000030518","143.1000061035","193.867","169.602","171.582","175.496","180.432","183.493","190.831","89.026","84.219","0.013","164.424638607974","159.692783547366","152.319036972822","225.1869","207.73842","57.0095471847824","53.97916179","61.74997781","50.616612","168.660713625","117.785203056","",
"Bulgaria","BGR","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","4.9000000954","5.0999999046","5.5999999046","6.3000001907","6.5","6.5","7","7.1999998093","7.5999999046","8.1000003815","8.8999996185","9","9.5","10.5","11.6999998093","8","8.6999998093","9.6000003815","9","7.6999998093","8","5.9000000954","14.3999996185","27.1000003815","30.8999996185","29.8999996185","23.8999996185","31.6000003815","30.3999996185","12.3999996185","5.955","2.405","0.031","0.628","2.558","3.105","3.38","2.952","2.278","1.73","2.13518","2.29862","1.93406","1.731","1.722","1.53095","1.76924764650873","1.71896","1.375","1.257","1.02489","",
"Bahrain","BHR","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","0.8000000119","1","1.1000000238","1.1000000238","2.2000000477","4","6.8000001907","8.1999998093","9.6000003815","14","26.2000007629","21.3999996185","21.6000003815","23.7999992371","30.7000007629","32.5999984741","31.3999996185","31.5","33.9000015259","40","44.2999992371","51.2000007629","69.8000030518","88.0999984741","122.0999984741","132.8000030518","105.8000030518","96.5999984741","104.5","209.1000061035","208.801","233.928","244.115","341.232","416.514","","","","","564.331","504.494","417.582988557635","338.071008606076","265.615452","258.367992","240.107004","387.310813088","390.39","420.98375","311.15413","191.96251","",
"Bahamas, The","BHS","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","1.6000000238","1.8999999762","1.8999999762","2.0999999046","3","3","3.5","0.200000003","0.3000000119","0.200000003","0.200000003","0.3000000119","0.3000000119","0.3000000119","0.3000000119","0.3000000119","0.3000000119","0.3000000119","0.400000006","0.400000006","0.400000006","0.400000006","0.5","1.1000000238","1.5","1.598","1.764","1.637","1.644","0.59","0.571","0.561","0.568","0.586","0.489","0.073942936","0.0921231146396359","0.120103571080943","0.145272","0.176256","0.17273088","0.17480365","0.173580024","0","0","0","",
"Bosnia and Herzegovina","BIH","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.400000006","0.5","0.576","0.507","0.512","0.527","","","","","","0","0.00133914808477711","0.00107131846782169","0.000781857938806923","0.000528","0.000408","8.7E-05","","","0","0","0","",
"Belarus","BLR","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4000000954","2.4000000954","2.4000000954","5.1999998093","2.5999999046","3.5","1.7999999523","1.614","1.491","1.272","1.093","1.152","1.157","1.215","1.239","1.225","1.022","1.539","1.549","1.755","1.695996","1.821996","1.807","1.266","1.9151","1.9004","2.8839","1.882857","",
"Belize","BLZ","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.069925233","0.0750827301877635","0.0608348499918917","1.19620662","3.00429486","2.463420011","2.689022193","3.746059438","0","0","0","",
"Bermuda","BMU","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","1.5","2.5","2.7999999523","2.9000000954","2.4000000954","2.5999999046","4.0999999046","27.6000003815","43.0999984741","33.9000015259","37.5999984741","43.7000007629","27.6000003815","17.2000007629","38","41.5","27.7999992371","25.5","8.3000001907","8.3999996185","8.3999996185","5","6.8000001907","10.1000003815","28.3999996185","48.9000015259","46.5999984741","47.0999984741","43","19.7999992371","15.341","13.568","14.922","24.522","24.371","25.295","10.714","8.718","8.755","6.871","11.236595977","17.4124617143146","12.3003149495376","7.993202","8.78072557707694","9.93479748637544","9.008756313","9.48554381985556","13.7284774028928","22.980404","17.95563766","",
