"Year","iso_code3","Region","gdp_mmm_usd"
2015,"LA","louisiana",232.458
2016,"LA","louisiana",228.253
2017,"LA","louisiana",231.373
2018,"LA","louisiana",237.372
2019,"LA","louisiana",240.475
2020,"LA","louisiana",244.347
2021,"LA","louisiana",247.796
2022,"LA","louisiana",251.416
2023,"LA","louisiana",255.324
2024,"LA","louisiana",259.509
2025,"LA","louisiana",263.914
2026,"LA","louisiana",268.496
2027,"LA","louisiana",273.227
2028,"LA","louisiana",278.083
2029,"LA","louisiana",283.049
2030,"LA","louisiana",288.114
2031,"LA","louisiana",293.275
2032,"LA","louisiana",298.54
2033,"LA","louisiana",303.919
2034,"LA","louisiana",309.426
2035,"LA","louisiana",315.071
2036,"LA","louisiana",320.866
2037,"LA","louisiana",326.823
2038,"LA","louisiana",332.951
2039,"LA","louisiana",339.256
2040,"LA","louisiana",345.742
2041,"LA","louisiana",352.411
2042,"LA","louisiana",359.267
2043,"LA","louisiana",366.31
2044,"LA","louisiana",373.538
2045,"LA","louisiana",380.946
2046,"LA","louisiana",388.528
2047,"LA","louisiana",396.285
2048,"LA","louisiana",404.211
2049,"LA","louisiana",412.303
2050,"LA","louisiana",420.553
2051,"LA","louisiana",428.96
2052,"LA","louisiana",437.527
2053,"LA","louisiana",446.256
2054,"LA","louisiana",455.149
2055,"LA","louisiana",464.209
2056,"LA","louisiana",473.442
2057,"LA","louisiana",482.86
2058,"LA","louisiana",492.477
2059,"LA","louisiana",502.304
2060,"LA","louisiana",512.357
