,iso_code3,Region,Year,frac_trns_pkm_dem_regional_rail_passenger
0,LA,louisiana,2022,0.0017525107096960028
1,LA,louisiana,2023,0.0017525107096960028
2,LA,louisiana,2024,0.0017525107096960028
3,LA,louisiana,2025,0.0017525107096960028
4,LA,louisiana,2026,0.0017525107096960028
5,LA,louisiana,2027,0.0017525107096960028
6,LA,louisiana,2028,0.0017525107096960028
7,LA,louisiana,2029,0.0017525107096960028
8,LA,louisiana,2030,0.0017525107096960028
9,LA,louisiana,2031,0.0017525107096960028
10,LA,louisiana,2032,0.0017525107096960028
11,LA,louisiana,2033,0.0017525107096960028
12,LA,louisiana,2034,0.0017525107096960028
13,LA,louisiana,2035,0.0017525107096960028
14,LA,louisiana,2036,0.0017525107096960028
15,LA,louisiana,2037,0.0017525107096960028
16,LA,louisiana,2038,0.0017525107096960028
17,LA,louisiana,2039,0.0017525107096960028
18,LA,louisiana,2040,0.0017525107096960028
19,LA,louisiana,2041,0.0017525107096960028
20,LA,louisiana,2042,0.0017525107096960028
21,LA,louisiana,2043,0.0017525107096960028
22,LA,louisiana,2044,0.0017525107096960028
23,LA,louisiana,2045,0.0017525107096960028
24,LA,louisiana,2046,0.0017525107096960028
25,LA,louisiana,2047,0.0017525107096960028
26,LA,louisiana,2048,0.0017525107096960028
27,LA,louisiana,2049,0.0017525107096960028
28,LA,louisiana,2050,0.0017525107096960028
