"iso_code3","frac_waso_initial_composition_mun_paper","Year"
"LA",0.266,2021
"LA",0.266,2022
"LA",0.266,2023
"LA",0.266,2024
"LA",0.266,2025
"LA",0.266,2026
"LA",0.266,2027
"LA",0.266,2028
"LA",0.266,2029
"LA",0.266,2030
"LA",0.266,2031
"LA",0.266,2032
"LA",0.266,2033
"LA",0.266,2034
"LA",0.266,2035
"LA",0.266,2036
"LA",0.266,2037
"LA",0.266,2038
"LA",0.266,2039
"LA",0.266,2040
"LA",0.266,2041
"LA",0.266,2042
"LA",0.266,2043
"LA",0.266,2044
"LA",0.266,2045
"LA",0.266,2046
"LA",0.266,2047
"LA",0.266,2048
"LA",0.266,2049
"LA",0.266,2050
