Year,iso_code3,pij_lndu_forests_mangroves_to_other
2020,LA,0.0
2021,LA,0.0
2022,LA,0.0
2023,LA,0.0
2024,LA,0.0
2025,LA,0.0
2026,LA,0.0
2027,LA,0.0
2028,LA,0.0
2029,LA,0.0
2030,LA,0.0
2031,LA,0.0
2032,LA,0.0
2033,LA,0.0
2034,LA,0.0
2035,LA,0.0
2036,LA,0.0
2037,LA,0.0
2038,LA,0.0
2039,LA,0.0
2040,LA,0.0
2041,LA,0.0
2042,LA,0.0
2043,LA,0.0
2044,LA,0.0
2045,LA,0.0
2046,LA,0.0
2047,LA,0.0
2048,LA,0.0
2049,LA,0.0
2050,LA,0.0
