"Year","Region","iso_code3","cost_enfu_fuel_natural_gas_usd_per_mmbtu"
2024,"louisiana","LA",8.00046114451301
2025,"louisiana","LA",8.08612209293447
2026,"louisiana","LA",8.17292909704102
2027,"louisiana","LA",9.26754905195276
2028,"louisiana","LA",10.3621690068645
2029,"louisiana","LA",10.1418476292862
2030,"louisiana","LA",9.9783303654801
2031,"louisiana","LA",10.3892797472814
2032,"louisiana","LA",10.1482791794278
2033,"louisiana","LA",10.0456074356162
2034,"louisiana","LA",9.89799597968275
2035,"louisiana","LA",9.75215231527925
2036,"louisiana","LA",9.56283720701185
2037,"louisiana","LA",9.44020184869565
2038,"louisiana","LA",9.32053496453551
2039,"louisiana","LA",9.20794442557209
2040,"louisiana","LA",9.10371982191562
2041,"louisiana","LA",9.02718342573348
2042,"louisiana","LA",8.9535645761194
2043,"louisiana","LA",8.92207147359419
2044,"louisiana","LA",8.86335887004034
2045,"louisiana","LA",8.84924502272255
2046,"louisiana","LA",8.80302607864382
2047,"louisiana","LA",8.7663970583435
2048,"louisiana","LA",8.75078473148661
2049,"louisiana","LA",8.69525380741496
2050,"louisiana","LA",8.65856868044987
