Year,prodinit_ippu_chemicals_tonne,Iso_code3,Region
2022,16649544.61,LA,louisiana
2023,16649544.61,LA,louisiana
2024,16649544.61,LA,louisiana
2025,16649544.61,LA,louisiana
2026,16649544.61,LA,louisiana
2027,16649544.61,LA,louisiana
2028,16649544.61,LA,louisiana
2029,16649544.61,LA,louisiana
2030,16649544.61,LA,louisiana
2031,16649544.61,LA,louisiana
2032,16649544.61,LA,louisiana
2033,16649544.61,LA,louisiana
2034,16649544.61,LA,louisiana
2035,16649544.61,LA,louisiana
2036,16649544.61,LA,louisiana
2037,16649544.61,LA,louisiana
2038,16649544.61,LA,louisiana
2039,16649544.61,LA,louisiana
2040,16649544.61,LA,louisiana
2041,16649544.61,LA,louisiana
2042,16649544.61,LA,louisiana
2043,16649544.61,LA,louisiana
2044,16649544.61,LA,louisiana
2045,16649544.61,LA,louisiana
2046,16649544.61,LA,louisiana
2047,16649544.61,LA,louisiana
2048,16649544.61,LA,louisiana
2049,16649544.61,LA,louisiana
2050,16649544.61,LA,louisiana
