iso_code3,Region,Year,frac_inen_energy_wood_diesel
LA,louisiana,2000,0.0034696737172215
LA,louisiana,2001,0.0041652008724407
LA,louisiana,2002,0.0068325097972397
LA,louisiana,2003,0.0058287944069587
LA,louisiana,2004,0.0062042032369756
LA,louisiana,2005,0.0063119106109834
LA,louisiana,2006,0.0077455388506393
LA,louisiana,2007,0.008492171984215
LA,louisiana,2008,0.0140075901328273
LA,louisiana,2009,0.0140547469401257
LA,louisiana,2010,0.0102592794759825
LA,louisiana,2011,0.0110936166455752
LA,louisiana,2012,0.0117126742801092
LA,louisiana,2013,0.0117657699138327
LA,louisiana,2014,0.0113240574506283
LA,louisiana,2015,0.0122712795853369
LA,louisiana,2016,0.0082340893575058
LA,louisiana,2017,0.0071258983572895
LA,louisiana,2018,0.0055083367222448
LA,louisiana,2019,0.0061866961888161
LA,louisiana,2020,0.0063381858902575
