iso_code3,Region,Year,frac_inen_energy_lime_and_carbonite_gasoline
LA,louisiana,2000,0.002818656483052
LA,louisiana,2001,0.0030971683588954
LA,louisiana,2002,0.0055308678795108
LA,louisiana,2003,0.0049326201516664
LA,louisiana,2004,0.0106788361188837
LA,louisiana,2005,0.0111674065342826
LA,louisiana,2006,0.005283477746234
LA,louisiana,2007,0.0053361572919985
LA,louisiana,2008,0.0055334058848058
LA,louisiana,2009,0.0068424847627339
LA,louisiana,2010,0.0151104857352075
LA,louisiana,2011,0.0150672319287427
LA,louisiana,2012,0.0164132217619749
LA,louisiana,2013,0.0164330900899685
LA,louisiana,2014,0.0118885225771145
LA,louisiana,2015,0.0142452284557547
LA,louisiana,2016,0.0131261889663918
LA,louisiana,2017,0.0168055801380553
LA,louisiana,2018,0.0118470637496074
LA,louisiana,2019,0.009322435290202
LA,louisiana,2020,0.0083000798084596
