Year,iso_code3,pij_lndu_forests_primary_to_grasslands
2015,LA,3.4179933532365654e-05
2016,LA,1.135487162652516e-05
2017,LA,2.2693661994538913e-05
2018,LA,0.0
2019,LA,1.704007674719582e-05
