Year,consumpeinit_scoe_tj_per_mmmgdp_commercial_municipal_elec_appliances,Iso_code3,Region
2022,23.38,LA,louisiana
2023,23.1,LA,louisiana
2024,22.83,LA,louisiana
2025,22.56,LA,louisiana
2026,22.29,LA,louisiana
2027,22.02,LA,louisiana
2028,21.74,LA,louisiana
2029,21.47,LA,louisiana
2030,21.2,LA,louisiana
2031,20.93,LA,louisiana
2032,20.65,LA,louisiana
2033,20.38,LA,louisiana
2034,20.11,LA,louisiana
2035,19.84,LA,louisiana
2036,19.57,LA,louisiana
2037,19.29,LA,louisiana
2038,19.02,LA,louisiana
2039,18.75,LA,louisiana
2040,18.48,LA,louisiana
2041,18.21,LA,louisiana
2042,17.93,LA,louisiana
2043,17.66,LA,louisiana
2044,17.39,LA,louisiana
2045,17.12,LA,louisiana
2046,16.85,LA,louisiana
2047,16.57,LA,louisiana
2048,16.3,LA,louisiana
2049,16.03,LA,louisiana
2050,15.76,LA,louisiana
