iso_code3,Region,Year,frac_inen_energy_textiles_electricity
LA,louisiana,2000,0.365286006535774
LA,louisiana,2001,0.3743401552575864
LA,louisiana,2002,0.3898576869112046
LA,louisiana,2003,0.3950299914310197
LA,louisiana,2004,0.4306222058160042
LA,louisiana,2005,0.4131395348837209
LA,louisiana,2006,0.4426331177460795
LA,louisiana,2007,0.4303982278608468
LA,louisiana,2008,0.4417498811222065
LA,louisiana,2009,0.4627090433542046
LA,louisiana,2010,0.4649396034338677
LA,louisiana,2011,0.4946791093647674
LA,louisiana,2012,0.5234252993232692
LA,louisiana,2013,0.5172591447707368
LA,louisiana,2014,0.5116101046185252
LA,louisiana,2015,0.516454897008918
LA,louisiana,2016,0.5144776835706286
LA,louisiana,2017,0.4663709604417489
LA,louisiana,2018,0.4722642685424272
LA,louisiana,2019,0.4869542974079127
LA,louisiana,2020,0.4730241107146718
