,Year,occrate_trns_passenger_per_vehicle_aviation,iso_code3,Region
0,1991,85.19999999999999,LA,louisiana
1,1992,85.05000000000001,LA,louisiana
2,1993,86.85,LA,louisiana
3,1994,90.89999999999999,LA,louisiana
4,1995,91.95,LA,louisiana
5,1996,91.5,LA,louisiana
6,1997,94.95,LA,louisiana
7,1998,95.7,LA,louisiana
8,1999,93.3,LA,louisiana
9,2000,95.4,LA,louisiana
10,2001,93.0,LA,louisiana
11,2002,97.05,LA,louisiana
12,2003,97.05,LA,louisiana
13,2004,98.10000000000001,LA,louisiana
14,2005,113.85,LA,louisiana
15,2006,114.60000000000001,LA,louisiana
16,2007,115.5,LA,louisiana
