Year,frac_scoe_heat_energy_residential_natural_gas,Iso_code3,Region
2022,0.2578397212543554,LA,louisiana
2023,0.2578397212543554,LA,louisiana
2024,0.2578397212543554,LA,louisiana
2025,0.2578397212543554,LA,louisiana
2026,0.2578397212543554,LA,louisiana
2027,0.2578397212543554,LA,louisiana
2028,0.2578397212543554,LA,louisiana
2029,0.2578397212543554,LA,louisiana
2030,0.2578397212543554,LA,louisiana
2031,0.2578397212543554,LA,louisiana
2032,0.2578397212543554,LA,louisiana
2033,0.2578397212543554,LA,louisiana
2034,0.2578397212543554,LA,louisiana
2035,0.2578397212543554,LA,louisiana
2036,0.2578397212543554,LA,louisiana
2037,0.2578397212543554,LA,louisiana
2038,0.2578397212543554,LA,louisiana
2039,0.2578397212543554,LA,louisiana
2040,0.2578397212543554,LA,louisiana
2041,0.2578397212543554,LA,louisiana
2042,0.2578397212543554,LA,louisiana
2043,0.2578397212543554,LA,louisiana
2044,0.2578397212543554,LA,louisiana
2045,0.2578397212543554,LA,louisiana
2046,0.2578397212543554,LA,louisiana
2047,0.2578397212543554,LA,louisiana
2048,0.2578397212543554,LA,louisiana
2049,0.2578397212543554,LA,louisiana
2050,0.2578397212543554,LA,louisiana
