iso_code3,Region,Year,frac_inen_energy_chemicals_natural_gas
LA,louisiana,2000,0.4287116213470623
LA,louisiana,2001,0.4360648786731123
LA,louisiana,2002,0.4186287852117301
LA,louisiana,2003,0.4169063423383911
LA,louisiana,2004,0.4641796000135054
LA,louisiana,2005,0.467513302546574
LA,louisiana,2006,0.4362630237116289
LA,louisiana,2007,0.4625391383506282
LA,louisiana,2008,0.4503199301970479
LA,louisiana,2009,0.4554776792683828
LA,louisiana,2010,0.5895021452954871
LA,louisiana,2011,0.6252272903877536
LA,louisiana,2012,0.6593563562667362
LA,louisiana,2013,0.664889401552652
LA,louisiana,2014,0.6702618149111316
LA,louisiana,2015,0.707787211686749
LA,louisiana,2016,0.6918327306925235
LA,louisiana,2017,0.7085894709710678
LA,louisiana,2018,0.7123964621648182
LA,louisiana,2019,0.695618211118082
LA,louisiana,2020,0.7092818047748042
