Year,iso_code3,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration
2010,ABW,0.0
2011,ABW,0.0
2012,ABW,0.0
2013,ABW,0.0
2014,ABW,0.0
2015,ABW,0.0
2016,ABW,0.0
2017,ABW,0.0
2018,ABW,0.0
2019,ABW,0.0
2020,ABW,0.0
2010,AFG,0.0
2011,AFG,0.0
2012,AFG,0.0
2013,AFG,0.0
2014,AFG,0.0
2015,AFG,0.0
2016,AFG,0.0
2017,AFG,0.0
2018,AFG,0.0
2019,AFG,0.0
2020,AFG,0.0
2010,AGO,0.0590449252807256
2011,AGO,0.0531344280310875
2012,AGO,0.0511282425387157
2013,AGO,0.050409696701346
2014,AGO,0.0497715125852598
2015,AGO,0.049200917338056
2016,AGO,0.0548583688092702
2017,AGO,0.0603032834979198
2018,AGO,0.0666286810899303
2019,AGO,0.0670178928477627
2020,AGO,0.0674116784886278
2010,ALB,0.1346242193348966
2011,ALB,0.1255429719073684
2012,ALB,0.1247588379348
2013,ALB,0.126661980497008
2014,ALB,0.1284497310273596
2015,ALB,0.1301322963130051
2016,ALB,0.1410723641093575
2017,ALB,0.1508432747273639
2018,ALB,0.1621890669228516
2019,ALB,0.1588207548951078
2020,ALB,0.1555895014024551
2010,AND,0.3288286803939985
2011,AND,0.3447825713481666
2012,AND,0.346532640327891
2013,AND,0.3457232941080455
2014,AND,0.345085134978131
2015,AND,0.3425475302656194
2016,AND,0.3433302426489103
2017,AND,0.3330236245647626
2018,AND,0.3247166989254699
2019,AND,0.3228707082329891
2020,AND,0.3210455875403279
2010,ARE,0.674395287246307
2011,ARE,0.6262229453037442
2012,ARE,0.61984055430807
2013,ARE,0.6269621802690015
2014,ARE,0.6336040576765297
2015,ARE,0.639813083321874
2016,ARE,0.7009145647109596
2017,ARE,0.7570977463104493
2018,ARE,0.8220646607004269
2019,ARE,0.8126672065437368
2020,ARE,0.8034821785290179
2010,ARG,0.3313857483832834
2011,ARG,0.3087119155475684
2012,ARG,0.3064870314378409
2013,ARG,0.3108805428306787
2014,ARG,0.3150004217015504
2015,ARG,0.3188714592232366
2016,ARG,0.3588534985922583
2017,ARG,0.398228259528722
2018,ARG,0.4442803099341167
2019,ARG,0.4513176479417389
2020,ARG,0.4585815150391954
2010,ARM,0.2206530931609006
2011,ARM,0.2037468668129033
2012,ARM,0.2006301874727435
2013,ARM,0.201966292193918
2014,ARM,0.2032009415095369
2015,ARM,0.2043452685591981
2016,ARM,0.2177178803426957
2017,ARM,0.2290324419018951
2018,ARM,0.2425037644001162
2019,ARM,0.2340464410394056
2020,ARM,0.2261591368722345
2010,ASM,0.0
2011,ASM,0.0
2012,ASM,0.0
2013,ASM,0.0
2014,ASM,0.0
2015,ASM,0.0
2016,ASM,0.0
2017,ASM,0.0
2018,ASM,0.0
2019,ASM,0.0
2020,ASM,0.0
2010,ATG,0.0
2011,ATG,0.0
2012,ATG,0.0
2013,ATG,0.0
2014,ATG,0.0
2015,ATG,0.0
2016,ATG,0.0
2017,ATG,0.0
2018,ATG,0.0
2019,ATG,0.0
2020,ATG,0.0
2010,AUS,0.2886678074450541
2011,AUS,0.3143491266084135
2012,AUS,0.2752808889605043
2013,AUS,0.3022985131039991
2014,AUS,0.3601058674745881
2015,AUS,0.3942787929760404
2016,AUS,0.3912805590791104
2017,AUS,0.3683029192986431
2018,AUS,0.363568368205411
2019,AUS,0.3576782520411469
2020,AUS,0.351975943004862
2010,AUT,0.1742192385274816
2011,AUT,0.184138709142714
2012,AUT,0.1922246099175955
2013,AUT,0.1901478303887682
2014,AUT,0.1933135728819979
2015,AUT,0.2060712529151066
2016,AUT,0.206521390366316
2017,AUT,0.214422203362328
2018,AUT,0.2280922115168394
2019,AUT,0.225640452481533
2020,AUT,0.2232408407424914
2010,AZE,0.0
2011,AZE,0.0
2012,AZE,0.0
2013,AZE,0.0
2014,AZE,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.0
2019,AZE,0.0
2020,AZE,0.0
2010,BDI,1.021091714031468
2011,BDI,0.9237451365935738
2012,BDI,0.8930015235341755
2013,BDI,0.8840760071091466
2014,BDI,0.8760869521852578
2015,BDI,0.8688941108026319
2016,BDI,0.9593573634662984
2017,BDI,1.044275759190787
2018,BDI,1.142522580227199
2019,BDI,1.137931496742533
2020,BDI,1.133377162968432
2010,BEL,0.2453045277289966
2011,BEL,0.2605208661522211
2012,BEL,0.2785125306637201
2013,BEL,0.2862210695203982
2014,BEL,0.2957040650254692
2015,BEL,0.2929781145342863
2016,BEL,0.2937469108027029
2017,BEL,0.2994770555471406
2018,BEL,0.3034832783048997
2019,BEL,0.3013482744154817
2020,BEL,0.2992431001656724
2010,BEN,0.9034105092545726
2011,BEN,0.8239453410586203
2012,BEN,0.8022965274906746
2013,BEN,0.7994306086533
2014,BEN,0.7968336518283677
2015,BEN,0.7944694321917698
2016,BEN,0.8340776737356457
2017,BEN,0.8657089535285497
2018,BEN,0.9054136123675534
2019,BEN,0.8640035983846471
2020,BEN,0.8262157780402205
2010,BFA,0.7935597143066014
2011,BFA,0.7129310317355226
2012,BFA,0.685013565702604
2013,BFA,0.6745202191112253
2014,BFA,0.6652229659182377
2015,BFA,0.6569282865517923
2016,BFA,0.6926725882103208
2017,BFA,0.7217582924210476
2018,BFA,0.7575446097319843
2019,BFA,0.7252401271269596
2020,BFA,0.6955781229561144
2010,BGD,0.1575132978608073
2011,BGD,0.1420596734861688
2012,BGD,0.1369609146336049
2013,BGD,0.1352672287185168
2014,BGD,0.1337580873192083
2015,BGD,0.1324048849940131
2016,BGD,0.1362577110023392
2017,BGD,0.1389544979614962
2018,BGD,0.1430677468631979
2019,BGD,0.1346225990297006
2020,BGD,0.127118896108498
2010,BGR,0.378435518897894
2011,BGR,0.4385690949113743
2012,BGR,0.5005101698451204
2013,BGR,0.6003052182925634
2014,BGR,0.6684700115136356
2015,BGR,0.7304004197338219
2016,BGR,0.8838163202033152
2017,BGR,1.3182703952806485
2018,BGR,1.760425823066259
2019,BGR,1.7182555507237776
2020,BGR,1.67805835695832
2010,BHR,0.7673221434907437
2011,BHR,0.7029452756945813
2012,BHR,0.6872202795098519
2013,BHR,0.687249849292362
2014,BHR,0.6872768302601032
2015,BHR,0.687301548128505
2016,BHR,0.7481658340918812
2017,BHR,0.8031650000881072
2018,BHR,0.8668754305440204
2019,BHR,0.8519925640787357
2020,BHR,0.8376121022179209
2010,BHS,0.0
2011,BHS,0.0
2012,BHS,0.0
2013,BHS,0.0
2014,BHS,0.0
2015,BHS,0.0
2016,BHS,0.0
2017,BHS,0.0
2018,BHS,0.0
2019,BHS,0.0
2020,BHS,0.0
2010,BIH,0.0
2011,BIH,0.0
2012,BIH,0.0
2013,BIH,0.0
2014,BIH,0.0
2015,BIH,0.0
2016,BIH,0.0
2017,BIH,0.0
2018,BIH,0.0
2019,BIH,0.0
2020,BIH,0.0
2010,BLR,0.0
2011,BLR,0.0
2012,BLR,0.0
2013,BLR,0.0
2014,BLR,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2019,BLR,0.0
2020,BLR,0.0
2010,BLZ,0.0
2011,BLZ,0.0
2012,BLZ,0.0
2013,BLZ,0.0
2014,BLZ,0.0
2015,BLZ,0.0
2016,BLZ,0.0
2017,BLZ,0.0
2018,BLZ,0.0
2019,BLZ,0.0
2020,BLZ,0.0
2010,BMU,0.0
2011,BMU,0.0
2012,BMU,0.0
2013,BMU,0.0
2014,BMU,0.0
2015,BMU,0.0
2016,BMU,0.0
2017,BMU,0.0
2018,BMU,0.0
2019,BMU,0.0
2020,BMU,0.0
2010,BOL,0.0
2011,BOL,0.0
2012,BOL,0.0
2013,BOL,0.0
2014,BOL,0.0
2015,BOL,0.0
2016,BOL,0.0
2017,BOL,0.0
2018,BOL,0.0
2019,BOL,0.0
2020,BOL,0.0
2010,BRA,0.1270435469726093
2011,BRA,0.1134211290498119
2012,BRA,0.1193243073119778
2013,BRA,0.1247449870855307
2014,BRA,0.1297400015232587
2015,BRA,0.1343575952096921
2016,BRA,0.1444809699466234
2017,BRA,0.1530755919976132
2018,BRA,0.1617430147103708
2019,BRA,0.1624309515687482
2020,BRA,0.1631247653870753
2010,BRB,0.0
2011,BRB,0.0
2012,BRB,0.0
2013,BRB,0.0
2014,BRB,0.0
2015,BRB,0.0
2016,BRB,0.0
2017,BRB,0.0
2018,BRB,0.0
2019,BRB,0.0
2020,BRB,0.0
2010,BRN,0.1638935895991635
2011,BRN,0.1577167298187822
2012,BRN,0.1615558475446438
2013,BRN,0.1688938336067483
2014,BRN,0.176195512376774
2015,BRN,0.1834611813240766
2016,BRN,0.2017048391490733
2017,BRN,0.2186413716175786
2018,BRN,0.2382239027836862
2019,BRN,0.2362989613835205
2020,BRN,0.2344048791732598
2010,BTN,0.0
2011,BTN,0.0
2012,BTN,0.0
2013,BTN,0.0
2014,BTN,0.0
2015,BTN,0.0
2016,BTN,0.0
2017,BTN,0.0
2018,BTN,0.0
2019,BTN,0.0
2020,BTN,0.0
2010,BWA,0.2088028533226725
2011,BWA,0.1880956180190818
2012,BWA,0.1811574588087335
2013,BWA,0.1787540537728767
2014,BWA,0.1766162148189979
2015,BWA,0.1747022305232434
2016,BWA,0.1897635630742035
2017,BWA,0.203291276492362
2018,BWA,0.2189792162127516
2019,BWA,0.2148056487814265
2020,BWA,0.2107881956034787
2010,CAF,1.8257836484977013
2011,CAF,1.6962052908813634
2012,CAF,1.6796881436494866
2013,CAF,1.699712409211968
2014,CAF,1.718403155999614
2015,CAF,1.7358893002208136
2016,CAF,1.8614532396829775
2017,CAF,1.9699802210986448
2018,CAF,2.097566729095712
2019,CAF,2.0350470673847765
2020,CAF,1.9761464350951503
2010,CAN,0.1571715526189729
2011,CAN,0.1761656007166789
2012,CAN,0.187107271941329
2013,CAN,0.1932855941541754
