"Year","Region","iso_code3","cost_enfu_fuel_oil_usd_per_m3"
2024,"louisiana","LA",249.198034603719
2025,"louisiana","LA",250.961277067655
2026,"louisiana","LA",248.849267066328
2027,"louisiana","LA",260.899263250431
2028,"louisiana","LA",276.452895607833
2029,"louisiana","LA",285.463933369666
2030,"louisiana","LA",299.237695887438
2031,"louisiana","LA",308.093421369401
2032,"louisiana","LA",318.147836214054
2033,"louisiana","LA",324.653843176691
2034,"louisiana","LA",328.843756691563
2035,"louisiana","LA",333.639217750649
2036,"louisiana","LA",335.02025276572
2037,"louisiana","LA",334.101007004341
2038,"louisiana","LA",343.650379199287
2039,"louisiana","LA",343.943894967111
2040,"louisiana","LA",368.33677355885
2041,"louisiana","LA",376.420122259398
2042,"louisiana","LA",382.708121737152
2043,"louisiana","LA",392.499942548291
2044,"louisiana","LA",396.702521013023
2045,"louisiana","LA",396.949006119083
2046,"louisiana","LA",403.391058788126
2047,"louisiana","LA",408.030355830948
2048,"louisiana","LA",410.977548914754
2049,"louisiana","LA",414.740964688264
2050,"louisiana","LA",418.268856832787
