"iso_code3","frac_waso_initial_composition_mun_glass","Year"
"LA",0.044,2021
"LA",0.044,2022
"LA",0.044,2023
"LA",0.044,2024
"LA",0.044,2025
"LA",0.044,2026
"LA",0.044,2027
"LA",0.044,2028
"LA",0.044,2029
"LA",0.044,2030
"LA",0.044,2031
"LA",0.044,2032
"LA",0.044,2033
"LA",0.044,2034
"LA",0.044,2035
"LA",0.044,2036
"LA",0.044,2037
"LA",0.044,2038
"LA",0.044,2039
"LA",0.044,2040
"LA",0.044,2041
"LA",0.044,2042
"LA",0.044,2043
"LA",0.044,2044
"LA",0.044,2045
"LA",0.044,2046
"LA",0.044,2047
"LA",0.044,2048
"LA",0.044,2049
"LA",0.044,2050
