,Year,frac_trns_pkm_dem_private_and_public_powered_bikes,iso_code3,Region
0,2011,0.004600924747364987,LA,louisiana
1,2012,0.005222429093650788,LA,louisiana
2,2013,0.004930029035810664,LA,louisiana
3,2014,0.004787214466642111,LA,louisiana
4,2015,0.004538628386688108,LA,louisiana
5,2016,0.00463424573101872,LA,louisiana
6,2017,0.004504273959641012,LA,louisiana
7,2018,0.004401330560071904,LA,louisiana
8,2019,0.004271944657540135,LA,louisiana
9,2020,0.00511294106339731,LA,louisiana
10,2021,0.004909177255684183,LA,louisiana
