"Year","Region","iso_code3","cost_enfu_fuel_biogas_usd_per_mmbtu"
2024,"louisiana","LA",19.1931593670624
2025,"louisiana","LA",18.9009986836192
2026,"louisiana","LA",19.0772999603669
2027,"louisiana","LA",19.372223858108
2028,"louisiana","LA",19.6501645465171
2029,"louisiana","LA",19.9894696883979
2030,"louisiana","LA",21.1994440271648
2031,"louisiana","LA",21.5294209495648
2032,"louisiana","LA",21.7499210472207
2033,"louisiana","LA",22.3836897364016
2034,"louisiana","LA",22.8822933616854
2035,"louisiana","LA",23.7751939276331
2036,"louisiana","LA",23.8022021896733
2037,"louisiana","LA",23.9847196227693
2038,"louisiana","LA",24.778954996166
2039,"louisiana","LA",25.6347674905441
2040,"louisiana","LA",26.3151745960618
2041,"louisiana","LA",26.6270374912455
2042,"louisiana","LA",27.9193387985143
2043,"louisiana","LA",28.3509112318852
2044,"louisiana","LA",28.7433714697284
2045,"louisiana","LA",29.1739787307168
2046,"louisiana","LA",29.5982521843784
2047,"louisiana","LA",32.160986158913
2048,"louisiana","LA",33.0918799138872
2049,"louisiana","LA",33.2220019626471
2050,"louisiana","LA",33.5336827354657
