"Year","Region","iso_code3","exports_agrc_cereals_tonne"
2008,"louisiana","LA",31020479.63
2009,"louisiana","LA",27871979.15
2010,"louisiana","LA",29644569.36
2011,"louisiana","LA",28088985.47
2012,"louisiana","LA",20508520.36
2013,"louisiana","LA",19987132.75
2014,"louisiana","LA",29798426.61
2015,"louisiana","LA",27077062.41
2016,"louisiana","LA",28371949.41
2017,"louisiana","LA",27939612.63
2018,"louisiana","LA",31209290.99
2019,"louisiana","LA",22988501.98
2020,"louisiana","LA",31134917.11
2021,"louisiana","LA",40346543.97
2022,"louisiana","LA",33469042.19
2023,"louisiana","LA",24847256
