iso_code3,Nation,Region,Income_Level,region_name
ABW,Aruba,LCN,HIC,Latin America & Caribbean
ARG,Argentina,LCN,UMC,Latin America & Caribbean
ATG,Antigua and Barbuda,LCN,HIC,Latin America & Caribbean
BHS,"Bahamas, The",LCN,HIC,Latin America & Caribbean
BLZ,Belize,LCN,UMC,Latin America & Caribbean
BOL,Bolivia,LCN,LMC,Latin America & Caribbean
BRA,Brazil,LCN,UMC,Latin America & Caribbean
BRB,Barbados,LCN,HIC,Latin America & Caribbean
CHL,Chile,LCN,HIC,Latin America & Caribbean
COL,Colombia,LCN,UMC,Latin America & Caribbean
CRI,Costa Rica,LCN,UMC,Latin America & Caribbean
CUB,Cuba,LCN,UMC,Latin America & Caribbean
CUW,Curacao,LCN,HIC,Latin America & Caribbean
CYM,Cayman Islands,LCN,HIC,Latin America & Caribbean
DMA,Dominica,LCN,UMC,Latin America & Caribbean
DOM,Dominican Republic,LCN,UMC,Latin America & Caribbean
ECU,Ecuador,LCN,UMC,Latin America & Caribbean
GRD,Grenada,LCN,UMC,Latin America & Caribbean
GTM,Guatemala,LCN,UMC,Latin America & Caribbean
GUY,Guyana,LCN,UMC,Latin America & Caribbean
HND,Honduras,LCN,LMC,Latin America & Caribbean
HTI,Haiti,LCN,LMC,Latin America & Caribbean
JAM,Jamaica,LCN,UMC,Latin America & Caribbean
KNA,St. Kitts and Nevis,LCN,HIC,Latin America & Caribbean
LCA,St. Lucia,LCN,UMC,Latin America & Caribbean
MAF,St. Martin (French part),LCN,HIC,Latin America & Caribbean
MEX,Mexico,LCN,UMC,Latin America & Caribbean
NIC,Nicaragua,LCN,LMC,Latin America & Caribbean
PAN,Panama,LCN,HIC,Latin America & Caribbean
PER,Peru,LCN,UMC,Latin America & Caribbean
PRI,Puerto Rico,LCN,HIC,Latin America & Caribbean
PRY,Paraguay,LCN,UMC,Latin America & Caribbean
SLV,El Salvador,LCN,LMC,Latin America & Caribbean
SUR,Suriname,LCN,UMC,Latin America & Caribbean
SXM,Sint Maarten (Dutch part),LCN,HIC,Latin America & Caribbean
TCA,Turks and Caicos Islands,LCN,HIC,Latin America & Caribbean
TTO,Trinidad and Tobago,LCN,HIC,Latin America & Caribbean
URY,Uruguay,LCN,HIC,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,LCN,UMC,Latin America & Caribbean
VEN,"Venezuela, RB",LCN,INX,Latin America & Caribbean
VGB,British Virgin Islands,LCN,HIC,Latin America & Caribbean
VIR,Virgin Islands (U.S.),LCN,HIC,Latin America & Caribbean
AFG,Afghanistan,SAS,LIC,South Asia
BGD,Bangladesh,SAS,LMC,South Asia
BTN,Bhutan,SAS,LMC,South Asia
IND,India,SAS,LMC,South Asia
LKA,Sri Lanka,SAS,LMC,South Asia
MDV,Maldives,SAS,UMC,South Asia
NPL,Nepal,SAS,LMC,South Asia
PAK,Pakistan,SAS,LMC,South Asia
AGO,Angola,SSF,LMC,Sub-Saharan Africa
BDI,Burundi,SSF,LIC,Sub-Saharan Africa
BEN,Benin,SSF,LMC,Sub-Saharan Africa
BFA,Burkina Faso,SSF,LIC,Sub-Saharan Africa
BWA,Botswana,SSF,UMC,Sub-Saharan Africa
CAF,Central African Republic,SSF,LIC,Sub-Saharan Africa
CIV,Cote d'Ivoire,SSF,LMC,Sub-Saharan Africa
CMR,Cameroon,SSF,LMC,Sub-Saharan Africa
COD,"Congo, Dem. Rep.",SSF,LIC,Sub-Saharan Africa
COG,"Congo, Rep.",SSF,LMC,Sub-Saharan Africa
COM,Comoros,SSF,LMC,Sub-Saharan Africa
CPV,Cabo Verde,SSF,LMC,Sub-Saharan Africa
ERI,Eritrea,SSF,LIC,Sub-Saharan Africa
ETH,Ethiopia,SSF,LIC,Sub-Saharan Africa
GAB,Gabon,SSF,UMC,Sub-Saharan Africa
GHA,Ghana,SSF,LMC,Sub-Saharan Africa
GIN,Guinea,SSF,LIC,Sub-Saharan Africa
GMB,"Gambia, The",SSF,LIC,Sub-Saharan Africa
GNB,Guinea-Bissau,SSF,LIC,Sub-Saharan Africa
GNQ,Equatorial Guinea,SSF,UMC,Sub-Saharan Africa
KEN,Kenya,SSF,LMC,Sub-Saharan Africa
LBR,Liberia,SSF,LIC,Sub-Saharan Africa
LSO,Lesotho,SSF,LMC,Sub-Saharan Africa
MDG,Madagascar,SSF,LIC,Sub-Saharan Africa
MLI,Mali,SSF,LIC,Sub-Saharan Africa
MOZ,Mozambique,SSF,LIC,Sub-Saharan Africa
MRT,Mauritania,SSF,LMC,Sub-Saharan Africa
MUS,Mauritius,SSF,UMC,Sub-Saharan Africa
MWI,Malawi,SSF,LIC,Sub-Saharan Africa
NAM,Namibia,SSF,UMC,Sub-Saharan Africa
NER,Niger,SSF,LIC,Sub-Saharan Africa
NGA,Nigeria,SSF,LMC,Sub-Saharan Africa
RWA,Rwanda,SSF,LIC,Sub-Saharan Africa
SDN,Sudan,SSF,LIC,Sub-Saharan Africa
SEN,Senegal,SSF,LMC,Sub-Saharan Africa
SLE,Sierra Leone,SSF,LIC,Sub-Saharan Africa
SOM,Somalia,SSF,LIC,Sub-Saharan Africa
SSD,South Sudan,SSF,LIC,Sub-Saharan Africa
STP,Sao Tome and Principe,SSF,LMC,Sub-Saharan Africa
SWZ,Eswatini,SSF,LMC,Sub-Saharan Africa
SYC,Seychelles,SSF,HIC,Sub-Saharan Africa
TCD,Chad,SSF,LIC,Sub-Saharan Africa
TGO,Togo,SSF,LIC,Sub-Saharan Africa
TZA,Tanzania,SSF,LMC,Sub-Saharan Africa
UGA,Uganda,SSF,LIC,Sub-Saharan Africa
ZAF,South Africa,SSF,UMC,Sub-Saharan Africa
ZMB,Zambia,SSF,LIC,Sub-Saharan Africa
ZWE,Zimbabwe,SSF,LMC,Sub-Saharan Africa
ALB,Albania,ECS,UMC,Europe & Central Asia
AND,Andorra,ECS,HIC,Europe & Central Asia
ARM,Armenia,ECS,UMC,Europe & Central Asia
AUT,Austria,ECS,HIC,Europe & Central Asia
AZE,Azerbaijan,ECS,UMC,Europe & Central Asia
BEL,Belgium,ECS,HIC,Europe & Central Asia
BGR,Bulgaria,ECS,UMC,Europe & Central Asia
BIH,Bosnia and Herzegovina,ECS,UMC,Europe & Central Asia
BLR,Belarus,ECS,UMC,Europe & Central Asia
CHE,Switzerland,ECS,HIC,Europe & Central Asia
CHI,Channel Islands,ECS,HIC,Europe & Central Asia
CYP,Cyprus,ECS,HIC,Europe & Central Asia
CZE,Czechia,ECS,HIC,Europe & Central Asia
