"Year","Region","iso_code3","yf_agrc_sugar_cane_tonne_ha"
2011,"louisiana","LA",75.0762
2012,"louisiana","LA",80.0565
2013,"louisiana","LA",75.7099
2014,"louisiana","LA",78.5279
2015,"louisiana","LA",81.1535
2016,"louisiana","LA",79.7242
2017,"louisiana","LA",82.4123
2018,"louisiana","LA",86.0642
2019,"louisiana","LA",78.398
