Year,iso_code3,pop_lvst_initial_mules
2023,LA,4942
2024,LA,4942
2025,LA,4942
2026,LA,4942
2027,LA,4942
2028,LA,4942
2029,LA,4942
2030,LA,4942
2031,LA,4942
2032,LA,4942
2033,LA,4942
2034,LA,4942
2035,LA,4942
2036,LA,4942
2037,LA,4942
2038,LA,4942
2039,LA,4942
2040,LA,4942
2041,LA,4942
2042,LA,4942
2043,LA,4942
2044,LA,4942
2045,LA,4942
2046,LA,4942
2047,LA,4942
2048,LA,4942
2049,LA,4942
2050,LA,4942
