Year,frac_agrc_initial_area_cropland_fruits
2008,3.260562183623575e-05
2009,0.00023085228725537837
2010,6.581345318815892e-05
2011,4.2954961178091053e-05
2012,1.9404219888619776e-05
2013,4.171693740593105e-05
2014,4.841932803174555e-05
2015,2.6364388755356188e-05
2016,5.2077581793175454e-05
2017,2.5371025249369105e-05
2018,3.8195011689956975e-05
2019,5.233006932948112e-05
2020,5.3378306245532103e-05
2021,3.364783761141554e-05
2022,2.768117560107366e-05
2023,4.003006188231069e-05
