,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing
0,LA,louisiana,2021,1.2560182758955194
1,LA,louisiana,2022,1.2560182758955194
2,LA,louisiana,2023,1.2560182758955194
3,LA,louisiana,2024,1.2560182758955194
4,LA,louisiana,2025,1.2560182758955194
5,LA,louisiana,2026,1.2560182758955194
6,LA,louisiana,2027,1.2560182758955194
7,LA,louisiana,2028,1.2560182758955194
8,LA,louisiana,2029,1.2560182758955194
9,LA,louisiana,2030,1.2560182758955194
10,LA,louisiana,2031,1.2560182758955194
11,LA,louisiana,2032,1.2560182758955194
12,LA,louisiana,2033,1.2560182758955194
13,LA,louisiana,2034,1.2560182758955194
14,LA,louisiana,2035,1.2560182758955194
15,LA,louisiana,2036,1.2560182758955194
16,LA,louisiana,2037,1.2560182758955194
17,LA,louisiana,2038,1.2560182758955194
18,LA,louisiana,2039,1.2560182758955194
19,LA,louisiana,2040,1.2560182758955194
20,LA,louisiana,2041,1.2560182758955194
21,LA,louisiana,2042,1.2560182758955194
22,LA,louisiana,2043,1.2560182758955194
23,LA,louisiana,2044,1.2560182758955194
24,LA,louisiana,2045,1.2560182758955194
25,LA,louisiana,2046,1.2560182758955194
26,LA,louisiana,2047,1.2560182758955194
27,LA,louisiana,2048,1.2560182758955194
28,LA,louisiana,2049,1.2560182758955194
29,LA,louisiana,2050,1.2560182758955194
