year,coal,natural_gas,diesel,hydrocarbon_gas_liquids,kerosene,gasoline,solid_biomass,electricity
2015,0.0,31.0,3.2,0.8,0.05,3.9,0.1,85.3
2016,0.0,29.6,3.7,1.0,0.05,4.0,0.1,84.9
2017,0.0,28.9,3.6,1.3,0.05,4.1,0.1,83.6
2018,0.0,35.6,3.4,1.1,0.05,4.1,0.1,84.2
2019,0.0,33.6,3.2,1.4,0.05,4.2,0.1,82.9
2020,0.0,30.3,3.9,1.5,0.05,4.2,0.1,76.4
2021,0.0,33.2,3.5,1.4,0.05,4.2,0.1,76.6
