"year","location_code","prodinit_ippu_rubber_and_leather_tonne"
2019,"HUN",57467.5284261702
2020,"HUN",55000.5099286434
2010,"IDN",423794.186238634
2011,"IDN",462391.997516111
2012,"IDN",421401.691449494
2013,"IDN",402160.010165403
2014,"IDN",344327.803821845
2015,"IDN",369193.924112505
2016,"IDN",388875.910498206
2017,"IDN",457314.545920026
2018,"IDN",393557.327014332
2019,"IDN",454571.196583828
2020,"IDN",470360.386071804
2010,"IND",273647.997857328
2011,"IND",249785.156364678
2012,"IND",274396.629113049
2013,"IND",313906.125477515
2014,"IND",353592.992451672
2015,"IND",407397.671081518
2016,"IND",407990.2417959
2017,"IND",426224.614291015
2018,"IND",436415.423741325
2019,"IND",472737.945828743
2020,"IND",413999.597377942
2010,"IRL",8502.81601677463
2011,"IRL",8817.46012832073
2012,"IRL",8239.91913073188
2013,"IRL",10492.6806021133
2014,"IRL",10319.118585612
2015,"IRL",10805.1775327015
2016,"IRL",8700.43439727457
2017,"IRL",8635.79530680235
2018,"IRL",9347.54904715372
2019,"IRL",7717.03161622973
2020,"IRL",8873.92306316431
2010,"IRN",61878.7139443815
2011,"IRN",64429.6581661472
2012,"IRN",47952.0609779905
2013,"IRN",50415.8671914321
2014,"IRN",66131.2749287867
2015,"IRN",62753.6517538263
2016,"IRN",56754.6827680968
2017,"IRN",58831.9165842708
2018,"IRN",33725.3669899043
2019,"IRN",29652.4215543009
2020,"IRN",18459.6591366075
2010,"IRQ",4621.75014668832
2011,"IRQ",6814.17712094561
2012,"IRQ",14022.2288905563
2013,"IRQ",22629.2342314968
2014,"IRQ",15446.0604282711
2015,"IRQ",14143.9755811567
2016,"IRQ",18086.524085224
2017,"IRQ",21901.2336594664
2018,"IRQ",23044.3810960178
2019,"IRQ",25199.4988978136
2020,"IRQ",23766.6586714522
2010,"ISL",821.005787328968
2011,"ISL",763.190136613026
2012,"ISL",733.340440086202
2013,"ISL",906.170772076921
2014,"ISL",1006.75045289598
2015,"ISL",996.759661045005
2016,"ISL",1294.86074159512
2017,"ISL",1882.56946872179
2018,"ISL",2115.43052539702
2019,"ISL",1513.00807102982
2020,"ISL",2102.19776067967
2010,"ISR",20387.667071772
2011,"ISR",21155.9273195387
2012,"ISR",21041.9645039958
2013,"ISR",24243.1885900296
2014,"ISR",26160.3066555103
2015,"ISR",27652.2072809091
2016,"ISR",25673.5322572042
2017,"ISR",27622.3143879722
2018,"ISR",26406.1262173398
2019,"ISR",28477.7041291909
2020,"ISR",34438.7101172503
2010,"ITA",833941.110065365
2011,"ITA",795584.930525995
2012,"ITA",772641.805996641
2013,"ITA",891357.627118835
2014,"ITA",944007.689627317
2015,"ITA",877919.435186118
2016,"ITA",872534.272176313
2017,"ITA",862230.967677392
2018,"ITA",906712.64599259
2019,"ITA",950425.742330139
2020,"ITA",880827.365433914
2010,"JAM",912.499750915182
2011,"JAM",879.255419010441
2012,"JAM",1373.40973547912
2013,"JAM",1407.69869599165
2014,"JAM",1210.44159515364
2015,"JAM",1425.35643314755
2016,"JAM",1423.0691481715
2017,"JAM",1233.91172926136
2018,"JAM",1104.89494825993
2019,"JAM",1164.77810124642
2020,"JAM",1402.04092335277
2010,"JOR",2502.57723810337
2011,"JOR",2515.41318915697
2012,"JOR",3845.062081123
2013,"JOR",3303.04925652848
2014,"JOR",3427.04705518275
2015,"JOR",3604.65145213336
2016,"JOR",3354.14180703016
2017,"JOR",3048.23211544451
2018,"JOR",3199.41521104085
2019,"JOR",4154.2809070158
2020,"JOR",4639.95888628
2010,"JPN",1306365.04825757
2011,"JPN",1237569.02067013
2012,"JPN",1264491.93618368
2013,"JPN",1093083.71733022
2014,"JPN",946144.146659036
2015,"JPN",970328.097815789
2016,"JPN",1070857.94285767
2017,"JPN",974953.10070719
2018,"JPN",956885.552907656
2019,"JPN",1049333.05080596
2020,"JPN",1062115.39593539
2010,"KAZ",12630.3015726072
2011,"KAZ",16538.616282447
2012,"KAZ",21838.2291501415
2013,"KAZ",31147.1516536604
2014,"KAZ",30843.0295539379
2015,"KAZ",24989.5309177364
2016,"KAZ",26204.873399071
2017,"KAZ",37343.3793517448
2018,"KAZ",30855.5468341896
2019,"KAZ",31500.5357441083
2020,"KAZ",30595.3303729789
2010,"KEN",9596.57060182041
2011,"KEN",8587.94504460912
2012,"KEN",12944.7864118271
2013,"KEN",15027.7561589461
2014,"KEN",15591.5449218885
2015,"KEN",17313.0985638284
2016,"KEN",18776.9832232557
2017,"KEN",17253.8261674942
2018,"KEN",18732.557366363
2019,"KEN",18348.2859515262
2020,"KEN",19889.2658043336
2010,"KGZ",1641.52073736264
2011,"KGZ",2047.73870966717
2012,"KGZ",1986.48756247052
2013,"KGZ",2475.63449270088
2014,"KGZ",2456.11832530015
2015,"KGZ",2194.54934627201
2016,"KGZ",3611.37382022958
2017,"KGZ",3711.08116302486
2018,"KGZ",3451.08690916691
2019,"KGZ",3375.89735616583
2020,"KGZ",2332.2309781844
2010,"KHM",5913.21287868209
2011,"KHM",6945.20769552706
2012,"KHM",7637.57938140356
2013,"KHM",7310.44196207523
2014,"KHM",7420.00338501087
2015,"KHM",9453.97719751138
2016,"KHM",10686.6583653229
2017,"KHM",13536.9060171307
2018,"KHM",19245.3199497671
2019,"KHM",31209.3131090255
2020,"KHM",33845.1239332838
2010,"KIR",7.71717859418408
2011,"KIR",13.9210735752495
2012,"KIR",14.9349428799245
2013,"KIR",6.39951954672884
2014,"KIR",8.72019452806425
2015,"KIR",10.5555601392927
2016,"KIR",12.0631879520805
2017,"KIR",7.76718398609793
2018,"KIR",8.96997625133931
2019,"KIR",6.91686257017027
2020,"KIR",16.8653548797618
2010,"KOR",229927.511528384
2011,"KOR",213178.141609654
2012,"KOR",228687.499612048
2013,"KOR",244293.249147611
2014,"KOR",265445.590171669
2015,"KOR",294180.350925361
2016,"KOR",299222.486364804
2017,"KOR",294151.119108434
2018,"KOR",304685.644815029
2019,"KOR",323665.730031598
2020,"KOR",331743.871542184
2010,"KWT",8811.60589046025
2011,"KWT",10772.5636913984
2012,"KWT",12719.1514688251
2013,"KWT",11133.1856107457
2014,"KWT",10644.8198299525
2015,"KWT",7234.87818394614
2016,"KWT",6594.09867689644
2017,"KWT",7054.29302095052
2018,"KWT",8210.32034129056
2019,"KWT",8930.07431918373
2020,"KWT",9210.49910336493
2010,"LAO",1639.28034660983
2011,"LAO",1642.26759574561
2012,"LAO",2623.8192396463
2013,"LAO",3145.12116953318
2014,"LAO",3435.83506948325
2015,"LAO",4028.74635749853
2016,"LAO",5088.91506692098
2017,"LAO",3086.28354934824
2018,"LAO",3086.28354934824
2019,"LAO",3086.28354934824
2020,"LAO",3086.28354934824
2010,"LBN",3433.64767653203
2011,"LBN",2969.51706060485
2012,"LBN",3737.83582880469
2013,"LBN",4727.76772159705
2014,"LBN",4388.44848551775
2015,"LBN",6011.25483271114
2016,"LBN",6274.93378488137
2017,"LBN",5982.18750950862
2018,"LBN",6281.22245320962
2019,"LBN",7015.12042771534
2020,"LBN",6272.29996961006
2010,"LBY",4949.15759754747
2011,"LBY",2184.68342738617
2012,"LBY",8348.75934860098
2013,"LBY",5996.94835694912
2014,"LBY",4732.92072062967
2015,"LBY",5042.48336945522
2016,"LBY",4817.36374370032
2017,"LBY",5478.74791026102
2018,"LBY",6672.71682970156
2019,"LBY",6256.75865762489
2020,"LBY",5448.05399618564
2010,"LKA",49505.068950342
2011,"LKA",49505.068950342
2012,"LKA",49505.068950342
2013,"LKA",49505.068950342
2014,"LKA",49505.068950342
2015,"LKA",46522.2675299714
2016,"LKA",48052.8804683594
2017,"LKA",48693.3673919916
2018,"LKA",43697.8121375903
2019,"LKA",47458.3732088004
2020,"LKA",62605.7129653388
2010,"LSO",159.888460330776
2011,"LSO",143.739167942856
2012,"LSO",149.561195975025
2013,"LSO",216.948900598221
2014,"LSO",533.45500554614
2015,"LSO",559.878279422929
2016,"LSO",453.886257624231
2017,"LSO",189.811231709532
2018,"LSO",211.044059693369
2019,"LSO",265.026150290787
2020,"LSO",211.594014735998
2010,"LTU",5080.77862344887
2011,"LTU",5492.39737641451
2012,"LTU",5798.28435219764
2013,"LTU",6470.51150979274
2014,"LTU",7701.84698277708
2015,"LTU",6354.60508310646
2016,"LTU",6908.28724925337
2017,"LTU",6880.92312258391
2018,"LTU",7436.12143982373
2019,"LTU",7558.5987863485
2020,"LTU",8642.62162624347
2010,"LUX",10704.3890647417
2011,"LUX",11846.6072710339
2012,"LUX",10009.1794194878
2013,"LUX",9346.00740599215
2014,"LUX",8222.87950070829
2015,"LUX",6873.15367012139
2016,"LUX",7024.58798833358
2017,"LUX",7140.11098073266
2018,"LUX",7461.55180134071
2019,"LUX",7754.84030937277
2020,"LUX",6799.07165581994
2010,"LVA",4787.53019687772
2011,"LVA",5602.20917497502
2012,"LVA",7435.11509141782
2013,"LVA",7185.70707553842
2014,"LVA",6865.26166587978
2015,"LVA",6597.30282240147
2016,"LVA",6702.47812911522
2017,"LVA",6293.5723365454
2018,"LVA",6267.13499396348
2019,"LVA",7135.71611904566
2020,"LVA",7758.32276849889
2010,"MAC",6888.13983040164
2011,"MAC",7953.14615166891
2012,"MAC",10663.3338691949
2013,"MAC",14910.1973784281
2014,"MAC",14283.0422131644
2015,"MAC",11841.188612243
2016,"MAC",12610.3183109935
2017,"MAC",14103.829252311
2018,"MAC",18328.2620673084
2019,"MAC",21462.907346151
2020,"MAC",10188.2932110241
2010,"MAR",13036.7279373816
2011,"MAR",12369.4104091575
2012,"MAR",11891.7982474254
2013,"MAR",14540.5322283645
2014,"MAR",17177.7784628657
2015,"MAR",19495.51050881
2016,"MAR",18497.949955517
2017,"MAR",18328.8910244641
2018,"MAR",20581.7484981532
2019,"MAR",21934.3950052539
2020,"MAR",20973.993348597
2010,"MDA",2221.51984160014
2011,"MDA",2257.43128625857
2012,"MDA",2359.21438086686
2013,"MDA",2726.4066452529
2014,"MDA",2849.40656668277
2015,"MDA",2602.22024231504
2016,"MDA",2744.14773865007
2017,"MDA",2677.06358479105
2018,"MDA",2909.31219552338
2019,"MDA",2943.25804449449
2020,"MDA",3088.98112879605
2010,"MDG",1475.59568262011
2011,"MDG",1767.73781749529
2012,"MDG",2261.79853286731
2013,"MDG",1771.11618052733
2014,"MDG",1677.24982737563
2015,"MDG",1743.18779493313
2016,"MDG",1902.85055630545
2017,"MDG",1587.76345309946
2018,"MDG",1615.29070979421
2019,"MDG",2008.94569281994
2020,"MDG",2299.40783306917
2010,"MDV",144.44376797812
2011,"MDV",144.44376797812
2012,"MDV",144.44376797812
2013,"MDV",144.44376797812
2014,"MDV",112.93454677909
2015,"MDV",123.373186635433
2016,"MDV",139.446077746281
2017,"MDV",185.247319598833
2018,"MDV",152.64873055287
2019,"MDV",168.287242968892
2020,"MDV",129.169271565444
2010,"MEX",189479.290200816
2011,"MEX",184526.047675951
2012,"MEX",219140.737956522
2013,"MEX",242027.799495306
2014,"MEX",260058.173586922
2015,"MEX",265549.073631829
2016,"MEX",236850.494100311
2017,"MEX",234688.777427334
2018,"MEX",245879.638765737
2019,"MEX",261075.178107406
2020,"MEX",236325.294013164
2010,"MHL",13.3271089950858
2011,"MHL",12.4744634356544
2012,"MHL",18.506198543832
2013,"MHL",13.9708822045253
2014,"MHL",13.1343475405038
2015,"MHL",16.1501843136823
2016,"MHL",15.7046843977861
2017,"MHL",21.4684818087208
2018,"MHL",27.8763813084768
2019,"MHL",47.1968065985741
2020,"MHL",64.7960697843959
2010,"MKD",1199.19427894908
2011,"MKD",1120.23465564489
2012,"MKD",1100.15346061999
2013,"MKD",1377.04474772023
2014,"MKD",1398.19583062476
2015,"MKD",1364.1643980711
2016,"MKD",1394.02795696284
2017,"MKD",1517.25588244511
2018,"MKD",1646.83570025334
2019,"MKD",1592.9410498036
2020,"MKD",1884.99593121064
2010,"MLI",1080.25402818332
2011,"MLI",1243.30754573346
2012,"MLI",1411.90642285703
2013,"MLI",1395.97590196991
2014,"MLI",1309.3505511193
2015,"MLI",1275.87298451768
2016,"MLI",1056.36077142062
2017,"MLI",1335.83590011675
2018,"MLI",1373.55333083813
2019,"MLI",1302.14505285307
2020,"MLI",1436.13244927195
2010,"MLT",644.246988028981
2011,"MLT",577.18859847032
2012,"MLT",615.385175319952
2013,"MLT",711.122479068021
2014,"MLT",703.583904457361
2015,"MLT",564.383764482704
2016,"MLT",528.559766589615
2017,"MLT",617.224104723846
2018,"MLT",875.330296424396
2019,"MLT",1271.87122524611
2020,"MLT",847.106729130456
2010,"MMR",35205.2290212504
2011,"MMR",42513.0958351323
2012,"MMR",61845.7442094205
2013,"MMR",23842.3793205286
2014,"MMR",18230.5614802815
2015,"MMR",18693.2966486514
2016,"MMR",18509.6201006993
2017,"MMR",20138.9018969355
2018,"MMR",24291.4352001687
2019,"MMR",34150.8265651249
2020,"MMR",39375.3038307274
2010,"MNE",622.274111182128
2011,"MNE",572.526636219278
2012,"MNE",571.325648181795
2013,"MNE",595.297424462435
2014,"MNE",537.476488799106
2015,"MNE",459.023025429532
2016,"MNE",502.978453508702
2017,"MNE",562.534410848457
2018,"MNE",570.656214828217
2019,"MNE",573.852720339326
2020,"MNE",575.591467599621
2010,"MNG",1335.8837292169
2011,"MNG",1131.67576279195
2012,"MNG",1408.77033936326
2013,"MNG",1856.6660155982
2014,"MNG",1445.8559595971
2015,"MNG",1335.1886034209
2016,"MNG",1356.65396642573
2017,"MNG",1195.43492200662
2018,"MNG",1249.54567990324
2019,"MNG",1473.05725270614
2020,"MNG",1686.50786633582
2010,"MNP",270.807061940139
2011,"MNP",252.537454233092
2012,"MNP",278.246029452976
2013,"MNP",344.181405451336
2014,"MNP",318.53299298926
2015,"MNP",295.52024351117
2016,"MNP",266.014230325105
2017,"MNP",436.408346275051
2018,"MNP",583.624532921516
2019,"MNP",549.130029584389
2020,"MNP",359.500232668403
2010,"MOZ",1598.62887330837
2011,"MOZ",1476.18528982327
2012,"MOZ",1463.90514153471
2013,"MOZ",1512.06902998894
2014,"MOZ",1457.93822121415
2015,"MOZ",1682.41796716387
2016,"MOZ",1143.61069032213
2017,"MOZ",1666.48085389564
2018,"MOZ",1438.83934369499
2019,"MOZ",1560.26441758549
2020,"MOZ",1886.2758511239
2010,"MRT",511.817481191347
2011,"MRT",711.637281857392
2012,"MRT",881.36148510162
2013,"MRT",1017.60520052611
2014,"MRT",801.889265042838
2015,"MRT",657.031369105604
2016,"MRT",896.953587413836
2017,"MRT",978.273758572236
2018,"MRT",961.76713755332
2019,"MRT",830.192424280347
2020,"MRT",782.678822009962
2010,"MUS",1201.26956735425
2011,"MUS",999.437137806318
2012,"MUS",1252.13012575952
2013,"MUS",1205.54431409726
2014,"MUS",1406.4990480455
2015,"MUS",1391.62966959362
2016,"MUS",1263.17829070565
2017,"MUS",1237.27583889254
2018,"MUS",1345.87985816933
2019,"MUS",1400.57915570598
2020,"MUS",1233.12404857201
2010,"MYS",120306.78459142
2011,"MYS",130741.045649623
2012,"MYS",135072.346432992
2013,"MYS",140801.62917986
2014,"MYS",126606.163466391
2015,"MYS",138470.938296388
2016,"MYS",127144.698299676
2017,"MYS",141421.84279885
2018,"MYS",149667.238309068
2019,"MYS",164214.849004621
2020,"MYS",230027.101118312
2010,"NAM",1552.55655918608
2011,"NAM",1619.46072128071
2012,"NAM",1954.23491578837
2013,"NAM",2063.6374458515
2014,"NAM",2366.4864515577
2015,"NAM",2052.55335702047
2016,"NAM",1896.5151964204
2017,"NAM",2637.09219116229
2018,"NAM",2581.60005225343
2019,"NAM",2756.30163526148
2020,"NAM",2408.15997718681
2010,"NCL",658.3058610563
2011,"NCL",671.399256752682
2012,"NCL",632.781542608861
2013,"NCL",721.206865590569
2014,"NCL",893.880426325907
2015,"NCL",908.451152762873
2016,"NCL",806.120354579998
2017,"NCL",765.203759749514
2018,"NCL",757.168652428338
2019,"NCL",757.168652428338
2020,"NCL",757.168652428338
2010,"NER",323.144689645956
2011,"NER",339.919900316667
2012,"NER",436.457081241915
2013,"NER",444.11492209739
2014,"NER",373.708476813173
2015,"NER",457.727213196792
2016,"NER",467.990657194263
2017,"NER",354.90016640016
2018,"NER",356.884300842504
2019,"NER",519.505224583541
2020,"NER",529.813138963235
2010,"NGA",80717.6209319134
2011,"NGA",73809.6149669072
2012,"NGA",77962.8399018617
2013,"NGA",127619.188573319
2014,"NGA",70431.9081336896
2015,"NGA",79222.5931880965
2016,"NGA",62752.288916886
2017,"NGA",62489.5052192117
2018,"NGA",45467.7396575393
2019,"NGA",45008.3462509635
2020,"NGA",103740.124109041
2010,"NIC",993.845374845781
2011,"NIC",1164.64974209762
2012,"NIC",1471.8097993329
2013,"NIC",1496.04561383393
2014,"NIC",1677.7603893141
2015,"NIC",2098.08481246737
2016,"NIC",2065.6808279352
2017,"NIC",1895.72422215299
2018,"NIC",1394.25182650581
2019,"NIC",1481.98232965245
2020,"NIC",1663.58565622714
2010,"NLD",142366.532902756
2011,"NLD",140300.68808765
2012,"NLD",124809.183393639
2013,"NLD",132357.585671671
2014,"NLD",139820.064871199
2015,"NLD",127128.902883633
2016,"NLD",138398.521553202
2017,"NLD",135955.325988577
2018,"NLD",145175.064141956
2019,"NLD",150204.952730838
2020,"NLD",151893.239396581
2010,"NOR",30018.5747266911
2011,"NOR",29186.4975516416
2012,"NOR",32890.2610141851
2013,"NOR",33982.2214249886
2014,"NOR",34279.2147754407
2015,"NOR",28809.3196807712
2016,"NOR",26313.0883196127
2017,"NOR",26881.7862128584
2018,"NOR",29060.8827870415
2019,"NOR",28059.6042854817
2020,"NOR",31406.8318310159
2010,"NPL",2163.10157384472
2011,"NPL",2944.92738175454
2012,"NPL",3029.08713732909
2013,"NPL",3572.10146810139
2014,"NPL",3911.71998723947
2015,"NPL",2428.90618033105
2016,"NPL",3032.50382019777
2017,"NPL",3611.89952125033
2018,"NPL",3672.03075771707
2019,"NPL",3573.92069911195
2020,"NPL",3114.82675595419
2010,"NRU",26.9357395047414
2011,"NRU",4.94557585621277
2012,"NRU",5.86638632210828
2013,"NRU",7.64106574696839
2014,"NRU",7.02831997766406
2015,"NRU",7.72789096303356
2016,"NRU",7.82338276629813
2017,"NRU",6.10422560384728
2018,"NRU",9.20812473430604
2019,"NRU",7.94659838603551
2020,"NRU",7.03729056483212
2010,"NZL",21712.9285497323
2011,"NZL",24105.0164514163
2012,"NZL",26229.6099571992
2013,"NZL",28958.3327305203
2014,"NZL",29932.2926148374
2015,"NZL",29609.0023957899
2016,"NZL",26972.6111958922
2017,"NZL",26418.0172474154
2018,"NZL",26127.7469986221
2019,"NZL",25190.8087379857
2020,"NZL",27530.5997257603
2010,"OMN",5323.34188051194
2011,"OMN",4870.50022431417
2012,"OMN",6030.68787967746
2013,"OMN",5307.61627668543
2014,"OMN",6276.08525982724
2015,"OMN",5003.11678459099
2016,"OMN",5281.43704934094
2017,"OMN",6992.11884810719
2018,"OMN",8578.05514620471
2019,"OMN",8994.6410230232
2020,"OMN",7499.95013534675
2010,"PAK",92458.1434604906
2011,"PAK",85724.8738329181
2012,"PAK",95167.4178379672
2013,"PAK",103077.393782113
2014,"PAK",112751.274410385
2015,"PAK",128977.296811621
2016,"PAK",139604.539731868
2017,"PAK",141775.387546304
2018,"PAK",130565.051792706
2019,"PAK",115307.025956202
2020,"PAK",114495.739140709
2010,"PAN",7535.14995366296
2011,"PAN",7501.44004653824
2012,"PAN",8298.60494671027
2013,"PAN",8143.95808571385
2014,"PAN",9728.65915140923
2015,"PAN",13377.3492492891
2016,"PAN",14760.0253506722
2017,"PAN",12823.9272212965
2018,"PAN",10159.2198462738
2019,"PAN",12172.214748983
2020,"PAN",13207.5957145271
2010,"PER",20388.4470143228
2011,"PER",20804.6729258077
2012,"PER",25949.440925524
2013,"PER",28673.0470616817
2014,"PER",28798.102187576
2015,"PER",33183.3692108051
2016,"PER",29797.4021072387
2017,"PER",30062.5076342299
2018,"PER",32081.5924984002
2019,"PER",34052.7325171703
2020,"PER",33362.608580124
2010,"PHL",36208.5512985951
2011,"PHL",37475.1767540043
2012,"PHL",45991.0895240332
2013,"PHL",49052.3010042922
2014,"PHL",53447.5323949248
2015,"PHL",65394.8107567385
2016,"PHL",66893.7603567175
2017,"PHL",59175.5660587732
2018,"PHL",57011.1560157953
2019,"PHL",77653.26982538
2020,"PHL",70628.3777605233
2010,"POL",168775.104986361
2011,"POL",175659.739918969
2012,"POL",168185.853222425
2013,"POL",183624.471355192
2014,"POL",186661.495932078
2015,"POL",184161.286191328
2016,"POL",180437.093676908
2017,"POL",188856.824644622
2018,"POL",203265.131503335
2019,"POL",204142.267526639
2020,"POL",210161.352303096
2010,"PRT",74805.3443409378
2011,"PRT",65329.9889353919
2012,"PRT",62220.8542849449
2013,"PRT",70979.3211090107
2014,"PRT",71291.5335792603
2015,"PRT",70529.8883593853
2016,"PRT",71156.8811023861
2017,"PRT",69213.3334360235
2018,"PRT",74200.8207206115
2019,"PRT",72460.1468513008
2020,"PRT",72842.9506905028
2010,"PRY",9209.01304849125
2011,"PRY",8538.30077840566
2012,"PRY",8288.42382835212
2013,"PRY",10393.0283740157
2014,"PRY",12363.4480423159
2015,"PRY",9774.78152374181
2016,"PRY",10141.8210262171
2017,"PRY",10841.5240678183
2018,"PRY",8813.21189029755
2019,"PRY",8950.33407241823
2020,"PRY",7327.9264758246
2010,"PSE",712.011097069335
2011,"PSE",540.281244661413
2012,"PSE",698.965427492051
2013,"PSE",1015.61834666206
2014,"PSE",1098.00757100699
2015,"PSE",1129.87700444463
2016,"PSE",1189.61129366448
2017,"PSE",1667.53615655008
2018,"PSE",1534.59633440322
2019,"PSE",945.059025095919
2020,"PSE",1150.79440192165
2010,"PYF",367.150718789965
2011,"PYF",367.150718789965
2012,"PYF",367.150718789965
2013,"PYF",367.150718789965
2014,"PYF",367.150718789965
2015,"PYF",367.150718789965
2016,"PYF",367.150718789965
2017,"PYF",291.668188055007
2018,"PYF",367.150718789965
2019,"PYF",377.859385374944
2020,"PYF",431.924582939945
2010,"QAT",7766.79714887809
2011,"QAT",5944.84826981348
2012,"QAT",5900.35111779224
2013,"QAT",7331.81885762593
2014,"QAT",8303.88298307782
2015,"QAT",8156.9957781167
2016,"QAT",5879.34048864352
2017,"QAT",7609.87108648622
2018,"QAT",9264.64441826317
2019,"QAT",9212.09873821749
2020,"QAT",8033.49911775924
2010,"ROU",90102.6024845356
2011,"ROU",91415.6265290732
2012,"ROU",92873.8400677396
2013,"ROU",95850.7359771487
2014,"ROU",102053.861185385
2015,"ROU",98646.6698117927
2016,"ROU",100888.24951434
2017,"ROU",105037.904859149
2018,"ROU",116844.32238395
2019,"ROU",117836.873414723
2020,"ROU",118107.872147168
2010,"RUS",241785.311546866
2011,"RUS",287827.55538428
2012,"RUS",335755.115482677
2013,"RUS",358108.160664379
2014,"RUS",300840.377521289
2015,"RUS",222427.547945792
2016,"RUS",236922.793635412
2017,"RUS",277916.446147448
2018,"RUS",270174.377853948
2019,"RUS",289556.171780006
2020,"RUS",283106.418515992
2010,"RWA",649.884964824048
2011,"RWA",618.321337541313
2012,"RWA",793.237816639708
2013,"RWA",897.261668677375
2014,"RWA",840.007866892371
2015,"RWA",927.271452064928
2016,"RWA",689.531773464817
2017,"RWA",710.597554589273
2018,"RWA",672.129935356979
2019,"RWA",662.749193673404
2020,"RWA",723.097218286788
2010,"SAU",47258.4791635604
2011,"SAU",53980.3560695692
2012,"SAU",71735.0858584117
2013,"SAU",67561.0118411954
2014,"SAU",62341.8668792656
2015,"SAU",63150.5124418234
2016,"SAU",64543.1904922368
2017,"SAU",65096.1467560052
2018,"SAU",74430.9096844063
2019,"SAU",92377.4692042489
2020,"SAU",81738.9106289626
2010,"SDN",8561.78680954752
2011,"SDN",9902.56428525149
2012,"SDN",13347.179529888
2013,"SDN",18750.179194261
2014,"SDN",265144.290329575
2015,"SDN",259644.135069803
2016,"SDN",280135.861826381
2017,"SDN",228892.943491216
2018,"SDN",255690.763146301
2019,"SDN",362298.006455313
2020,"SDN",626423.365662938
2010,"SEN",2081.47814605546
2011,"SEN",2255.68121542995
2012,"SEN",2788.1538125407
2013,"SEN",3101.76520831777
2014,"SEN",3269.09854309426
2015,"SEN",3868.55146447652
2016,"SEN",3878.11929943432
2017,"SEN",3576.20143195367
2018,"SEN",3065.09676656832
2019,"SEN",2937.77033901666
2020,"SEN",3756.28812915407
2010,"SGP",17038.7649157025
2011,"SGP",17088.3056656543
2012,"SGP",16896.3506324838
2013,"SGP",18077.8538240871
2014,"SGP",19957.2288740675
2015,"SGP",25327.3275348825
2016,"SGP",29510.1095183107
2017,"SGP",27192.401396102
2018,"SGP",30821.2685576758
2019,"SGP",32853.6609821763
2020,"SGP",28437.0693783311
2010,"SLB",36.2754801979595
2011,"SLB",51.1200314871727
2012,"SLB",47.4457740851649
2013,"SLB",42.6781741261005
2014,"SLB",51.4900280335221
2015,"SLB",95.4687203782539
2016,"SLB",125.215220472836
2017,"SLB",156.904915863091
2018,"SLB",149.732357881622
2019,"SLB",107.683813494636
2020,"SLB",146.159294700754
2010,"SLE",348.611988843401
2011,"SLE",453.748188219341
2012,"SLE",275.662160599818
2013,"SLE",360.437010384962
2014,"SLE",520.283891899684
2015,"SLE",480.140137645521
2016,"SLE",305.245243101874
2017,"SLE",385.406187223936
2018,"SLE",472.381206482676
2019,"SLE",513.110282355209
2020,"SLE",462.644462126114
2010,"SLV",2022.34831920767
2011,"SLV",1880.04995880028
2012,"SLV",2246.26158504234
2013,"SLV",2483.45771845121
2014,"SLV",2371.97808979778
2015,"SLV",2894.36460075465
2016,"SLV",3189.68732307984
2017,"SLV",2345.54950698173
2018,"SLV",2153.27641877544
2019,"SLV",2334.17669621676
2020,"SLV",2175.66975644922
2010,"SMR",23.7219460348118
2011,"SMR",23.7219460348118
2012,"SMR",23.7219460348118
2013,"SMR",23.7219460348118
2014,"SMR",23.7219460348118
2015,"SMR",25.4617435748549
2016,"SMR",22.0908647832804
2017,"SMR",25.3510976967287
2018,"SMR",23.7560584470753
2019,"SMR",23.7866481000167
2020,"SMR",21.8852636069146
2010,"SOM",998.278000247812
2011,"SOM",998.278000247812
2012,"SOM",998.278000247812
2013,"SOM",1781.53963674717
2014,"SOM",1116.81703055268
2015,"SOM",916.751624487349
2016,"SOM",832.604665797984
2017,"SOM",709.503544082495
2018,"SOM",919.06260087462
2019,"SOM",835.880665740339
2020,"SOM",874.06423369986
2010,"SRB",15136.2870451523
2011,"SRB",16371.4128133104
2012,"SRB",15660.2940067768
2013,"SRB",19171.1896771714
2014,"SRB",18790.713368556
2015,"SRB",19054.6982515241
2016,"SRB",19378.826069667
2017,"SRB",21557.6160830017
2018,"SRB",25133.6148908566
2019,"SRB",26183.3890598311
2020,"SRB",26370.0071490754
2010,"SSD",154.72874708629
2011,"SSD",154.72874708629
2012,"SSD",54.7804661764852
2013,"SSD",168.083115561133
2014,"SSD",122.607380482743
2015,"SSD",273.4440261248
2016,"SSD",154.72874708629
2017,"SSD",154.72874708629
2018,"SSD",154.72874708629
2019,"SSD",154.72874708629
2020,"SSD",154.72874708629
2010,"SUR",387.787779218821
2011,"SUR",387.787779218821
2012,"SUR",387.787779218821
2013,"SUR",387.787779218821
2014,"SUR",387.787779218821
2015,"SUR",387.787779218821
2016,"SUR",387.787779218821
2017,"SUR",387.787779218821
2018,"SUR",387.787779218821
2019,"SUR",387.787779218821
2020,"SUR",387.787779218821
2010,"SVK",33165.8748328234
2011,"SVK",32924.4661950868
2012,"SVK",34091.4921489591
2013,"SVK",36976.4623564259
2014,"SVK",38178.3629820301
2015,"SVK",37804.3362304168
2016,"SVK",39277.3235584723
2017,"SVK",37819.3800852991
2018,"SVK",41150.2000343703
2019,"SVK",41109.3821811872
2020,"SVK",43021.3098995048
