"year","location_code","prodinit_ippu_rubber_and_leather_tonne"
2017,"BHR",1577.70311676923
2018,"BHR",1690.5866664898
2019,"BHR",2053.81576020664
2020,"BHR",2049.12198044044
2010,"BHS",411.399655638959
2011,"BHS",432.770195837622
2012,"BHS",469.441629155068
2013,"BHS",507.19422766262
2014,"BHS",525.252379627311
2015,"BHS",877.56177788182
2016,"BHS",772.859563341338
2017,"BHS",755.355203456226
2018,"BHS",970.908498511315
2019,"BHS",817.58095115178
2020,"BHS",863.301105997812
2010,"BIH",6264.89286143039
2011,"BIH",6406.53392326631
2012,"BIH",6666.14753146948
2013,"BIH",7133.23611887904
2014,"BIH",7284.56834068661
2015,"BIH",7583.56263396596
2016,"BIH",7642.25204943307
2017,"BIH",7314.9560585268
2018,"BIH",7557.83731947841
2019,"BIH",6961.40004169071
2020,"BIH",6782.61674475211
2010,"BLR",12066.0479794609
2011,"BLR",8981.292542355
2012,"BLR",12347.5001287118
2013,"BLR",15649.7826559194
2014,"BLR",13714.9013688207
2015,"BLR",9361.32029488253
2016,"BLR",10047.1530802511
2017,"BLR",10773.9325542332
2018,"BLR",10303.5110827795
2019,"BLR",11417.8621022916
2020,"BLR",12421.7476324249
2010,"BLZ",244.030750016809
2011,"BLZ",296.43577031729
2012,"BLZ",165.353471573974
2013,"BLZ",230.449376508043
2014,"BLZ",265.309642297385
2015,"BLZ",385.249197408553
2016,"BLZ",421.629777335826
2017,"BLZ",376.666273844837
2018,"BLZ",338.752584398268
2019,"BLZ",333.523103513587
2020,"BLZ",275.853088946785
2010,"BMU",244.70376717128
2011,"BMU",192.589411769741
2012,"BMU",213.565469977362
2013,"BMU",215.624963365748
2014,"BMU",168.427790386787
2015,"BMU",214.794093149565
2016,"BMU",219.944278920353
2017,"BMU",213.983873827483
2018,"BMU",177.685414283378
2019,"BMU",185.141726730246
2020,"BMU",471.945480412361
2010,"BOL",3627.29892983022
2011,"BOL",3377.87432322352
2012,"BOL",3488.64965781678
2013,"BOL",4052.25453434401
2014,"BOL",4285.89693802086
2015,"BOL",4688.50533875591
2016,"BOL",5132.13248389852
2017,"BOL",4864.96307069549
2018,"BOL",5017.30160164894
2019,"BOL",4787.26873612342
2020,"BOL",4634.5803649488
2010,"BRA",610927.32821155
2011,"BRA",571391.823581209
2012,"BRA",543801.279817472
2013,"BRA",568878.447818599
2014,"BRA",594038.2693464
2015,"BRA",463536.175187636
2016,"BRA",449458.082622613
2017,"BRA",500107.08924226
2018,"BRA",389806.620681106
2019,"BRA",379553.744359395
2020,"BRA",281075.837329854
2010,"BRB",509.174620148799
2011,"BRB",839.453144114047
2012,"BRB",2659.06826284345
2013,"BRB",255.012574907986
2014,"BRB",306.068958731525
2015,"BRB",369.413258272259
2016,"BRB",342.774137108213
2017,"BRB",387.534203788604
2018,"BRB",356.417202539732
2019,"BRB",293.125562603304
2020,"BRB",325.437156146708
2010,"BRN",1409.63034699684
2011,"BRN",1269.97649135205
2012,"BRN",1720.54874939002
2013,"BRN",2528.34580121332
2014,"BRN",2930.12432532498
2015,"BRN",2078.46295398795
2016,"BRN",1115.84902337333
2017,"BRN",1197.62727099399
2018,"BRN",942.139171085226
2019,"BRN",726.261753992814
2020,"BRN",700.804977321104
2010,"BTN",52.9313425920476
2011,"BTN",64.3828545895154
2012,"BTN",58.8663747707087
2013,"BTN",57.8347688788681
2014,"BTN",60.7990656115627
2015,"BTN",83.5666780507576
2016,"BTN",130.613425386279
2017,"BTN",105.122611598114
2018,"BTN",230.801756730424
2019,"BTN",349.079884563693
2020,"BTN",269.130839193524
2010,"BWA",2064.3207147895
2011,"BWA",1486.84595339279
2012,"BWA",1701.63327199864
2013,"BWA",1418.96258183116
2014,"BWA",1547.29334297437
2015,"BWA",1935.21878852565
2016,"BWA",1628.36741610834
2017,"BWA",2191.34562066532
2018,"BWA",1601.04784598672
2019,"BWA",1412.51021223124
2020,"BWA",1177.68799484344
2010,"CAF",85.0884435980226
2011,"CAF",83.4905746416172
2012,"CAF",79.6103888808381
2013,"CAF",107.261527828888
2014,"CAF",89.3046386285819
2015,"CAF",39.3678609201869
2016,"CAF",84.9350438008452
2017,"CAF",59.7431817685237
2018,"CAF",66.3120192798007
2019,"CAF",53.4740516659018
2020,"CAF",92.8622635339677
2010,"CAN",310252.58411878
2011,"CAN",286640.214829358
2012,"CAN",321838.202587067
2013,"CAN",322767.862392064
2014,"CAN",313426.861434989
2015,"CAN",308837.027016746
2016,"CAN",296784.022648021
2017,"CAN",292781.860775136
2018,"CAN",301918.582997133
2019,"CAN",315339.649969785
2020,"CAN",307476.74867821
2010,"CHE",54065.0792720104
2011,"CHE",52863.7830643275
2012,"CHE",54417.5841411666
2013,"CHE",56734.1750163206
2014,"CHE",68433.5956226852
2015,"CHE",68419.4343322755
2016,"CHE",64728.7676844986
2017,"CHE",72364.4739531976
2018,"CHE",87690.1768364891
2019,"CHE",124533.376840203
2020,"CHE",110708.413411272
2010,"CHL",41917.3698929504
2011,"CHL",41927.8271655467
2012,"CHL",51139.1182843409
2013,"CHL",53643.1894674826
2014,"CHL",52679.4644131522
2015,"CHL",54300.0884535744
2016,"CHL",51697.2081824835
2017,"CHL",54774.391044215
2018,"CHL",55271.6884172038
2019,"CHL",57856.7591592816
2020,"CHL",52831.4601058142
2010,"CHN",1923879.32426764
2011,"CHN",2029525.56155842
2012,"CHN",2288462.83312253
2013,"CHN",2578083.90126227
2014,"CHN",2698902.78450602
2015,"CHN",3076974.1222141
2016,"CHN",3027020.26307444
2017,"CHN",3181278.30891668
2018,"CHN",3261321.11741382
2019,"CHN",3467744.97796284
2020,"CHN",3428488.38479609
2010,"CIV",20672.7315842217
2011,"CIV",21814.7032396072
2012,"CIV",17976.1978750849
2013,"CIV",22424.4221342325
2014,"CIV",21179.6787252106
2015,"CIV",20890.4863242013
2016,"CIV",24333.4289616558
2017,"CIV",33637.4990764123
2018,"CIV",37445.0336927217
2019,"CIV",42780.8896196661
2020,"CIV",54141.7448934726
2010,"CMR",7511.66732082426
2011,"CMR",8010.03154535108
2012,"CMR",7554.73963359385
2013,"CMR",7855.17398993559
2014,"CMR",7156.60092366636
2015,"CMR",6775.70383748613
2016,"CMR",6173.18431961574
2017,"CMR",6701.92813438112
2018,"CMR",5273.38628538692
2019,"CMR",4855.34220030449
2020,"CMR",7856.73199411912
2010,"COD",978.178276511065
2011,"COD",968.728839671193
2012,"COD",2065.13509340057
2013,"COD",2236.34493666033
2014,"COD",2510.39829761368
2015,"COD",2947.89191742053
2016,"COD",1945.71410421289
2017,"COD",2085.49714039666
2018,"COD",2911.44879828707
2019,"COD",3940.58235420455
2020,"COD",3493.75089269995
2010,"COG",645.365384263563
2011,"COG",773.218979027029
2012,"COG",1093.42561232212
2013,"COG",1242.24547620312
2014,"COG",986.945086743338
2015,"COG",594.063903282193
2016,"COG",384.52165914979
2017,"COG",512.553767090029
2018,"COG",542.400790692083
2019,"COG",516.943789907042
2020,"COG",704.648797432849
2010,"COL",58595.3173083651
2011,"COL",53617.0002898312
2012,"COL",56392.0959712267
2013,"COL",59859.9098512066
2014,"COL",60975.4148790073
2015,"COL",55088.1614983976
2016,"COL",49014.6117604843
2017,"COL",51617.6783539027
2018,"COL",53291.828343684
2019,"COL",51276.0823108382
2020,"COL",42431.445699134
2010,"COM",35.3774704938451
2011,"COM",26.9373146348828
2012,"COM",37.1378173172967
2013,"COM",61.749634337149
2014,"COM",75.4322398714412
2015,"COM",49.2697684244301
2016,"COM",52.461779310225
2017,"COM",59.8774439161812
2018,"COM",76.9500932286208
2019,"COM",60.7348637549173
2020,"COM",76.0890916157177
2010,"CPV",228.763179270041
2011,"CPV",194.449624364174
2012,"CPV",185.617096808647
2013,"CPV",233.383836682254
2014,"CPV",129.994663038202
2015,"CPV",102.121529849384
2016,"CPV",112.575359370975
2017,"CPV",95.9185748377544
2018,"CPV",115.772323614494
2019,"CPV",100.359865358244
2020,"CPV",112.797943298413
2010,"CRI",13936.5119967297
2011,"CRI",12083.2517552821
2012,"CRI",11333.8005932043
2013,"CRI",12323.2147834623
2014,"CRI",11961.2325432476
