"Year","Region","iso_code3","cost_enfu_fuel_waste_usd_per_mmbtu"
2024,"louisiana","LA",9380
2025,"louisiana","LA",9380
2026,"louisiana","LA",9380
2027,"louisiana","LA",9380
2028,"louisiana","LA",9380
2029,"louisiana","LA",9380
2030,"louisiana","LA",9380
2031,"louisiana","LA",9380
2032,"louisiana","LA",9380
2033,"louisiana","LA",9380
2034,"louisiana","LA",9380
2035,"louisiana","LA",9380
2036,"louisiana","LA",9380
2037,"louisiana","LA",9380
2038,"louisiana","LA",9380
2039,"louisiana","LA",9380
2040,"louisiana","LA",9380
2041,"louisiana","LA",9380
2042,"louisiana","LA",9380
2043,"louisiana","LA",9380
2044,"louisiana","LA",9380
2045,"louisiana","LA",9380
2046,"louisiana","LA",9380
2047,"louisiana","LA",9380
2048,"louisiana","LA",9380
2049,"louisiana","LA",9380
2050,"louisiana","LA",9380
