Year,Region,iso_code3,yf_agrc_tubers_tonne_ha
2020,louisiana,LA,39.93502847
2021,louisiana,LA,39.93502847
2022,louisiana,LA,39.93502847
2023,louisiana,LA,39.93502847
2024,louisiana,LA,39.93502847
2025,louisiana,LA,39.93502847
2026,louisiana,LA,39.93502847
2027,louisiana,LA,39.93502847
2028,louisiana,LA,39.93502847
2029,louisiana,LA,39.93502847
2030,louisiana,LA,39.93502847
2031,louisiana,LA,39.93502847
2032,louisiana,LA,39.93502847
2033,louisiana,LA,39.93502847
2034,louisiana,LA,39.93502847
2035,louisiana,LA,39.93502847
2036,louisiana,LA,39.93502847
2037,louisiana,LA,39.93502847
2038,louisiana,LA,39.93502847
2039,louisiana,LA,39.93502847
2040,louisiana,LA,39.93502847
2041,louisiana,LA,39.93502847
2042,louisiana,LA,39.93502847
2043,louisiana,LA,39.93502847
2044,louisiana,LA,39.93502847
2045,louisiana,LA,39.93502847
2046,louisiana,LA,39.93502847
2047,louisiana,LA,39.93502847
2048,louisiana,LA,39.93502847
2049,louisiana,LA,39.93502847
2050,louisiana,LA,39.93502847
