iso_code3,Region,Year,frac_inen_energy_chemicals_oil
LA,louisiana,2000,0.2043435807911945
LA,louisiana,2001,0.204849672963119
LA,louisiana,2002,0.2307929568657947
LA,louisiana,2003,0.2204900910626979
LA,louisiana,2004,0.1941597357433063
LA,louisiana,2005,0.1805594948062494
LA,louisiana,2006,0.1848283891123981
LA,louisiana,2007,0.1570735342160033
LA,louisiana,2008,0.1837162800843451
LA,louisiana,2009,0.1711650493414294
LA,louisiana,2010,0.093074157975871
LA,louisiana,2011,0.0513046856787629
LA,louisiana,2012,0.0419784638174226
LA,louisiana,2013,0.0455161053413386
LA,louisiana,2014,0.0505793559235868
LA,louisiana,2015,0.049316860711441
LA,louisiana,2016,0.0636155205681578
LA,louisiana,2017,0.0622778529544429
LA,louisiana,2018,0.0614163819863665
LA,louisiana,2019,0.076188323430638
LA,louisiana,2020,0.0704842063692852
