iso_code3,Region,Year,frac_inen_energy_electronics_solid_biomass
LA,louisiana,2021,0.0004044419300794
LA,louisiana,2022,0.0004741894193821
LA,louisiana,2023,0.0005470079963387
LA,louisiana,2024,0.0005942480010292
LA,louisiana,2025,0.0006375953052771
LA,louisiana,2026,0.0006783306000918
LA,louisiana,2027,0.000723214886955
LA,louisiana,2028,0.000770689821279
LA,louisiana,2029,0.0008211846439005
LA,louisiana,2030,0.0008741502281137
LA,louisiana,2031,0.000930380828496
LA,louisiana,2032,0.0009903886030646
LA,louisiana,2033,0.0010547532028742
LA,louisiana,2034,0.0011238249109037
LA,louisiana,2035,0.0011980198057681
LA,louisiana,2036,0.0012778477286395
LA,louisiana,2037,0.001363977992033
LA,louisiana,2038,0.001457212745919
LA,louisiana,2039,0.0015584874596155
LA,louisiana,2040,0.001668888847346
LA,louisiana,2041,0.0017896982257908
LA,louisiana,2042,0.0019224506568192
LA,louisiana,2043,0.0020377696615621
LA,louisiana,2044,0.0020956418080404
LA,louisiana,2045,0.0021541805432852
LA,louisiana,2046,0.0022133981235261
LA,louisiana,2047,0.0022733070191306
LA,louisiana,2048,0.0023339196466447
LA,louisiana,2049,0.0023952486165151
LA,louisiana,2050,0.0024573067527135
