"iso_code3","frac_waso_initial_composition_mun_chemical_industrial","Year"
"LA",0.0064,2010
"LA",0.0064,2011
"LA",0.0064,2012
"LA",0.0064,2013
"LA",0.0064,2014
"LA",0.0064,2015
"LA",0.0064,2016
"LA",0.0064,2017
"LA",0.0064,2018
"LA",0.0064,2019
"LA",0.0064,2020
