iso_code3,Region,Year,frac_trns_fuelmix_public_electricity
LA,louisiana,2008,0.0030045067601402
LA,louisiana,2009,0.0034999999999999
LA,louisiana,2010,0.0036784025223331
LA,louisiana,2011,0.0030848329048843
LA,louisiana,2012,0.003003003003003
LA,louisiana,2013,0.0034280117531831
LA,louisiana,2014,0.0033947623666343
LA,louisiana,2015,0.0014800197335964
LA,louisiana,2016,0.0014527845036319
LA,louisiana,2017,0.0009078529278256
LA,louisiana,2018,0.0008849557522123
LA,louisiana,2019,0.000893655049151
